,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.972827786,0,0,0,0,0,0.008740053,0.018432161,0,0
JPM,0.013098854,0.966905459,0,0,0,0,0.015238638,0.004757049,0,0
BAC,0.013290291,0,0.954032513,0,0,0,0.000297053,0.032380143,0,0
C,0.011072709,0,0,0.967257544,0,0,0.000217071,0.021452676,0,0
WFC,0.021035486,0,0,0,0.961179824,0,0.000349638,0.017435052,0,0
GS,0.01335757,0.004762922,0,0,0,0.972863824,0.000599871,0.008415812,0,0
USB,0.00626686,0,0,0,0,0,0.987183941,0.006549199,0,0
TD,3.44E-05,0,0,0,0,0,0.00541778,0.994547825,0,0
BK,0.003080486,0,0,0,0,0,0.000211771,0.033626442,0.9630813,0
TFC,0.021200336,0,0,0,0,0,0.000253559,0.011637099,0,0.966909006
