,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.865612572,0,0,2.11E-05,0.029874946,0,1.39E-06,0.061254772,0.010460203,0.03277502
JPM,0.051271824,0.767815411,0,1.55E-05,0.001722973,0,1.03E-06,0.128996263,0.007692073,0.04248492
BAC,0.108597249,0,0.758484202,4.24E-06,0.003749206,0,2.77E-07,0.110165657,0.00107741,0.017921755
C,0.072359711,0,0,0.602274759,0.003317963,0,0.0398752,0.122723254,0.000473509,0.158975604
WFC,0.098392127,0,0,8.36E-06,0.832418596,0,5.51E-07,0.05736545,0.00414368,0.007671241
GS,0.026243117,0,0,5.78E-07,0.001699618,0.849129942,3.82E-08,0.09656306,0.000286505,0.026077141
USB,0.040649708,0,0,9.54E-07,0.001251421,0,0.815801452,0.108852344,0.000473255,0.032970867
TD,0.041037278,0,0,2.01E-06,0.000949411,0,1.33E-07,0.910728869,0.000995704,0.046286598
BK,0.061044821,0,0,0.001638569,0.002079668,0,0.000108411,0.097313573,0.812639377,0.025175582
TFC,0.116878532,0,0,6.31E-06,0.00417675,0,4.17E-07,0.112788691,0.003130727,0.76301857
