,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.755091909,0.064100558,0.022096538,0.001535836,0.050579313,0.008138137,0.006132713,0.016628189,0.014047345,0.06164946
BK,0.001474443,0.757384431,0.066707999,0.001800684,0.01903599,0.023885816,0.00333785,0.017725882,0.007996714,0.100650191
C,0.025242049,0.042986627,0.806588096,0.000418658,0.035623211,0.007025425,0.007199979,0.020066103,0.013849018,0.041000834
GS,2.35E-05,0.035978659,0.007503263,0.78234252,0.071138454,0.016279526,0.005088842,0.01111766,0.015030823,0.05549675
JPM,6.90E-05,0.042125008,0.010924314,0.000317378,0.786833906,0.013463766,0.005951846,0.026161798,0.053885638,0.060267329
MS,0.00010451,0.061869091,0.012912665,0.000592719,0.035548397,0.735987681,0.003249703,0.016617892,0.011011453,0.12210589
TD,0.00017607,0.045510924,0.01082629,0.019114779,0.04203817,0.011993906,0.711354411,0.014858897,0.063098231,0.081028322
TFC,0.00027577,0.024065983,0.00626973,0.000497914,0.040836902,0.011355941,0.011800999,0.756992812,0.064384044,0.083519905
USB,0.0033299,0.034953593,0.019806156,0.000592711,0.061584855,0.011160632,0.010451586,0.016988349,0.763511426,0.077620792
WFC,0.005063861,0.043586787,0.007405308,0.000739345,0.023667361,0.009471991,0.012694105,0.026023486,0.01169306,0.859654696
