,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.768882009,0.053176019,0.015510188,0.007709246,0.048636714,0.001276424,0.00766598,0.019322899,0.01050687,0.06731365
BK,0.000762054,0.757535122,0.067474734,0.002186928,0.016149332,0.014531543,0.002505819,0.022410199,0.006698023,0.109746246
C,0.017533839,0.034851136,0.828475838,0.00013787,0.032565534,0.000983927,0.007248,0.024562038,0.009427111,0.044214707
GS,0.000226308,0.027467857,0.004502174,0.808600557,0.06288953,0.003756518,0.003443186,0.012605033,0.012308652,0.064200185
JPM,0.000478289,0.037471978,0.006898691,1.89E-05,0.800805305,0.002935016,0.003515667,0.031977341,0.044000034,0.071898757
MS,0.000322943,0.059339099,0.007940984,0.000277573,0.033240962,0.728714016,0.001355334,0.020947361,0.007712286,0.140149442
TD,0.000661132,0.04132511,0.007005748,0.012677945,0.027455623,0.003496913,0.732541082,0.022709922,0.045416417,0.106710108
TFC,0.000838416,0.017605781,0.003492537,0.000176278,0.032712604,0.001527925,0.014846947,0.769850989,0.056797506,0.102151016
USB,0.006529163,0.027427536,0.014385437,0.000226579,0.051269291,0.002985207,0.010383094,0.023756983,0.764979895,0.098056816
WFC,0.004853602,0.035337358,0.004519029,0.000979742,0.02493395,0.00158387,0.011136286,0.033710204,0.009701945,0.873244014
