    ,    MS,   JPM,   BAC,     C,   WFC,    GS,   USB,    TD,    BK,   TFC,  FROM
MS  ,16.2,10.78,11.4,11.37,8.15,11.94,9.15,6.58,5.83,8.6,8.38
JPM ,9.54,14.49,12.07,11.52,8.41,10.36,10.66,6.6,6.58,9.76,8.55
BAC ,10.03,11.59,13.63,11.36,8.58,10.24,10.75,6.97,7.12,9.72,8.64
C   ,10.19,11.81,11.98,14.38,8.42,10.59,9.53,7,6.9,9.2,8.56
WFC ,9.01,10.51,11.13,10.14,16.98,9.01,10.71,6.33,6.19,9.99,8.3
GS  ,11.35,11.28,11.45,11.23,7.97,15.26,9.18,6.89,6.16,9.23,8.47
USB ,8.9,11.47,11.83,10.11,8.94,9.12,15.3,6.43,6.87,11.03,8.47
TD  ,9.18,9.61,10.92,9.98,7.43,9.45,9.31,19.93,5.72,8.48,8.01
BK  ,7.39,10,10.89,10.33,7.05,8.68,9.66,5.24,22.67,8.1,7.73
TFC ,8.74,11.03,11.31,10.18,9.03,9.58,11.85,6.46,5.88,15.95,8.4
TO  ,8.43,9.81,10.3,9.62,7.4,8.9,9.08,5.85,5.73,8.41,83.52
