,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.121486733,0.099321386,0.10233593,0.10214127,0.094756384,0.102889578,0.09873299,0.101615657,0.090356984,0.086363088
JPM,0.095191048,0.117055863,0.109601157,0.102553489,0.098453413,0.094625734,0.105733844,0.098343399,0.083155564,0.09528649
BAC,0.097228915,0.107664191,0.113742784,0.104241074,0.098093894,0.094982281,0.105536361,0.096966209,0.084875212,0.096669079
C,0.098989326,0.103936094,0.106146992,0.114760773,0.096948486,0.098158224,0.103215815,0.096047911,0.084553123,0.097243254
WFC,0.096521117,0.102918755,0.105325021,0.101165857,0.119721263,0.093176831,0.107625189,0.094821805,0.079763305,0.098960857
GS,0.107569421,0.103650833,0.104064811,0.103588622,0.094959825,0.11942995,0.093929342,0.097445515,0.089059715,0.086301968
USB,0.092697296,0.103974884,0.107433071,0.104385855,0.103448169,0.087081897,0.122009872,0.096501597,0.080406154,0.102061206
TD,0.099974164,0.101266215,0.101967285,0.100718783,0.094629018,0.094541699,0.102289852,0.129663856,0.08335872,0.091590409
BK,0.100034225,0.09778792,0.101249845,0.099997117,0.08939823,0.095950701,0.097472575,0.098191423,0.138284042,0.081633924
TFC,0.090609309,0.103738076,0.106371222,0.10490532,0.103790178,0.086711369,0.110424394,0.094188856,0.075806521,0.123454755
