,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
MS,0.131451412,0.096360512,0.103066318,0.101781158,0.09281311,0.104190977,0.102207636,0.092612756,0.086485281,0.08903084
JPM,0.103733827,0.114367966,0.108653635,0.102802613,0.092136911,0.097700543,0.107754994,0.094863942,0.083286061,0.094699508
BAC,0.106791528,0.104486237,0.114988,0.101821543,0.09262601,0.098162092,0.107307628,0.093817056,0.084299628,0.095700277
C,0.107156279,0.099977332,0.103087899,0.116796941,0.092484307,0.100390785,0.105893917,0.093482817,0.087155863,0.09357386
WFC,0.108627786,0.095205866,0.10199425,0.09781204,0.119936153,0.093126811,0.108756136,0.094614322,0.086854858,0.093071778
GS,0.111576536,0.100455129,0.104615512,0.103341071,0.091174186,0.117713862,0.102891043,0.092074867,0.084756811,0.091400984
USB,0.102441064,0.10019833,0.104567971,0.100757289,0.096117518,0.094669013,0.121042479,0.098583748,0.084524602,0.097097986
TD,0.104696661,0.097185195,0.102541543,0.097473541,0.093769167,0.092875727,0.109235024,0.134604226,0.078171288,0.089447628
BK,0.103865397,0.090333058,0.09824504,0.097855223,0.092663837,0.094480173,0.102248631,0.087751602,0.147304539,0.085252501
TFC,0.105189043,0.100470972,0.103726419,0.100640979,0.091514396,0.094130119,0.111372573,0.091402612,0.083000467,0.11855242
