    ,    MS,   JPM,   BAC,     C,   WFC,    GS,   USB,    TD,    BK,   TFC,  FROM
MS  ,12.49,9.95,10.26,10.3,9.48,10.64,9.57,9.91,8.84,8.56,8.75
JPM ,9.54,11.8,11.03,10.36,9.87,9.68,10.37,9.59,8.15,9.6,8.82
BAC ,9.75,10.86,11.51,10.49,9.88,9.69,10.38,9.43,8.33,9.69,8.85
C   ,9.91,10.41,10.62,11.61,9.73,9.94,10.22,9.41,8.37,9.78,8.84
WFC ,9.65,10.32,10.57,10.16,12.2,9.4,10.68,9.23,7.83,9.97,8.78
GS  ,10.91,10.39,10.45,10.48,9.45,12.34,9.11,9.51,8.72,8.63,8.77
USB ,9.29,10.45,10.76,10.47,10.4,8.78,12.18,9.47,7.97,10.23,8.78
TD  ,10.04,10.19,10.17,10.11,9.44,9.55,10.15,13.06,8.18,9.1,8.69
BK  ,10.12,9.77,10.1,10.07,8.91,9.75,9.52,9.41,14.24,8.1,8.58
TFC ,9.04,10.43,10.67,10.55,10.46,8.83,10.92,9.15,7.43,12.52,8.75
TO  ,8.83,9.28,9.46,9.3,8.76,8.63,9.09,8.51,7.38,8.37,87.61
