    ,   BAC,    BK,     C,    GS,   JPM,    MS,    TD,   TFC,   USB,   WFC,  FROM
BAC ,17.76,8.53,12.46,8.42,11.88,9.84,4.37,8.82,8.53,9.38,8.22
BK  ,10.88,21.5,10.39,6.65,9.45,11.23,2.1,7.99,8.82,11,7.85
C   ,12.9,7.18,18.78,9.44,12.09,10.05,4.4,8.49,8.4,8.26,8.12
GS  ,10.79,6.18,10.89,19.97,12.31,10.92,4.23,8.01,7.39,9.31,8
JPM ,11.24,7.42,11.6,9.34,18.17,8.25,5.1,8.97,10.09,9.83,8.18
MS  ,11.61,9.48,11.32,10.25,10.04,19.13,2.82,7.8,7.39,10.16,8.09
TD  ,9.19,5.79,9.28,8.74,10.35,6.82,21.87,8.08,10.58,9.29,7.81
TFC ,10.16,7.01,9.85,8.03,10.13,7.66,4.91,19.82,12.73,9.7,8.02
USB ,9.56,7.87,9.94,6.83,10.91,7.23,5.47,11.29,19.9,10.99,8.01
WFC ,9.88,7.99,9.95,7.91,10.62,8.3,3.85,8.07,10,23.42,7.66
TO  ,9.62,6.74,9.57,7.56,9.78,8.03,3.73,7.75,8.39,8.79,79.97
