,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.142113788,0.088117874,0.121617856,0.082681791,0.119831853,0.096431383,0.047187673,0.096181243,0.098940995,0.106895545
BK,0.10641335,0.152515686,0.112235883,0.07473715,0.105926217,0.105097398,0.036277007,0.089654057,0.100095593,0.117047659
C,0.117156961,0.077811428,0.152014785,0.090416779,0.121189848,0.097888533,0.052863767,0.092852466,0.098188844,0.099616588
GS,0.102770721,0.073836077,0.112757783,0.143058502,0.123231949,0.102711361,0.050230091,0.08847411,0.094738006,0.108191401
JPM,0.104093511,0.079817969,0.115924462,0.090158695,0.149387133,0.088492068,0.054954563,0.097274461,0.109638186,0.110258954
MS,0.108681559,0.089074254,0.116064412,0.094734808,0.110479597,0.142312616,0.041934854,0.089776339,0.093763262,0.113178298
TD,0.093306061,0.07604859,0.106765934,0.088760913,0.113139473,0.084061716,0.115880794,0.096477047,0.114858997,0.110700475
TFC,0.09861758,0.076498462,0.107249627,0.082529686,0.110179777,0.084549996,0.057353882,0.149282876,0.123565142,0.110172972
USB,0.095850949,0.08102895,0.108537918,0.07849134,0.114356401,0.083768586,0.05968687,0.107354547,0.153756796,0.117167642
WFC,0.098348435,0.082824616,0.108281504,0.082696336,0.112546001,0.088373234,0.048859367,0.091348312,0.108819061,0.177903134
