,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
BAC,0.140218085,0.090192663,0.115297929,0.070680001,0.11055573,0.084576554,0.067663796,0.108170391,0.10205636,0.110588491
BK,0.111858012,0.146913301,0.102660685,0.059267623,0.099018962,0.097414393,0.063950379,0.109051586,0.10247494,0.10739012
C,0.116404343,0.078336892,0.139328407,0.072562067,0.106925334,0.084959709,0.072301358,0.111942715,0.106485766,0.11075341
GS,0.108942749,0.075733395,0.106389886,0.119568463,0.111597742,0.090115501,0.072337134,0.105962748,0.10021442,0.10913796
JPM,0.112203946,0.085037333,0.108979306,0.072469793,0.136009979,0.077648554,0.073637386,0.115566614,0.109463481,0.108983608
MS,0.114498831,0.096216913,0.108357142,0.076896447,0.101708882,0.12916511,0.063034139,0.105909966,0.094878312,0.10933426
TD,0.097574038,0.079326998,0.098927333,0.073973379,0.10011605,0.073203095,0.139880958,0.115692394,0.114612453,0.106693302
TFC,0.098196191,0.072169793,0.103577637,0.066602182,0.099097963,0.067378528,0.084326609,0.161537118,0.13074906,0.116364919
USB,0.096381209,0.076062691,0.105919537,0.061109729,0.098185844,0.064584748,0.083373804,0.132741593,0.156589569,0.125051275
WFC,0.100874081,0.068687713,0.106815619,0.060139718,0.093696083,0.067298164,0.079424036,0.123006581,0.133543035,0.166514969
