"","tables.hsba.ln","tables.X8306.to","tables.bnp.fr","tables.jpm","tables.dbk.xe","tables.barc.ln","tables.aca.fr","tables.bac","tables.c","tables.X8411.to","tables.gle.fr","tables.rbs.ln","tables.X8316.to","tables.san.mc","tables.wfc","tables.inga.ae","tables.lloy.ln","tables.ucg.mi","tables.ubsn.vx","tables.csgn.vx","tables.gs","tables.ndasek.sk","tables.isp.mi","tables.MS","tables.td.t","tables.ry.t","tables.bbva.mc","tables.cbk.xe","tables.nab.au","tables.bns.t","tables.cba.au","tables.stan.ln","tables.X600036.sh","tables.anz.au","tables.wbc.au","tables.X600000.sh","tables.danske.ko","tables.sber.mz","tables.X600016.sh","tables.bmo.t","tables.itub4.br","tables.X8308.to","tables.X8604.to","tables.X8309.to","tables.sbin.in","tables.dnb.os","tables.shba.sk","tables.seba.sk","tables.cm.t","tables.bk.us","tables.usb","tables.bbdc4.br","tables.kbc.bt","tables.pnc.us","tables.d05.sg","tables.X000001.sz","tables.X053000.se","tables.dexb.bt","tables.cof","tables.X055550.se","tables.sweda.sk","tables.X600015.sh","tables.ebs.vi","tables.bmps.mi","tables.stt.us","tables.sab.mc","tables.u11.sg","tables.pop.mc","tables.X024110.SE","tables.BBT","tables.bir.db","tables.NA.T","tables.STI.US","tables.bp.mi","tables.maybank.ku","tables.aib.db","tables.sbk.jo","tables.AXP","tables.ete.at","tables.mqg.au","tables.X8354.to","tables.X8332.to","tables.poh1s.he","tables.fitb.us","tables.rf.us","tables.X8331.to","tables.uni.mi","tables.bcp.lb","tables.cimb.ku","tables.bankbaroda.in","tables.isctr.is","tables.bes.lb","tables.X8377.to","tables.X8355.to","tables.mb.mi","tables.X8418.to","tables.US_b","tables.UK_b","tables.GER_b","tables.FRA_b","tables.ITA_b","tables.ESP_b","tables.GRC_b","tables.JPN_b","tables.CAN_b","tables.AUS_b"
"hsba.ln",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X8306.to",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bnp.fr",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"jpm",0,0,0,0.960390561866781,0,0,0,0.000246855771624609,0,0,0,0.00037876079892718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00505875816791366,0,0,0,0,0,0,0.000235404511178871,0,0,0,0,3.64951985466707e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000407763914300741,0.000867444240288738,0,0.000209727723303208,0,0,0,0,0,0,0,0,0,0,0.000363167698915791,0.031793440472444,0,0,1.29993453933517e-05,0,3.51154852792101e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dbk.xe",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"barc.ln",0,0,0,0,0,0.972590627207748,0,5.62612546239847e-06,0,0,0,1.82128732367653e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.39826977548351e-07,0,0,0,0,0,0,0.000475356418178504,0,0,0,0,1.35158371693066e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.40561044278476e-06,2.09655563888844e-05,0,4.86870204381332e-06,0,0,0,0,0,0,0,0,0,0,0.0261486130557204,0.000724616813253869,0,0,1.66716504093012e-07,0,1.30109390792461e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"aca.fr",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bac",0,0,0,0,0,0,0,0.95264011872209,0,0,0,0.000201044550897327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.26093955970436e-05,0,0,0,0,0,0,0.000311045613995032,0,0,0,0,1.77791779991227e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000194976474106913,0.0177891858886483,0,0.000263822034344947,0,0,0,0,0,0,0,0,0,0,0.0160492101305429,0.0124506796148017,0,0,1.81617667691074e-07,0,1.71259555298671e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,0,0,8.23769008123938e-05,0.984559819629152,0,0,0.00014842406381076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000718874115474532,0,0,0,0,0,0,0.00017018714214163,0,0,0,0,1.3698754733648e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137645220973914,0.000304361910956517,0,7.05874767654716e-05,0,0,0,0,0,0,0,0,0,0,0.00318301255905656,0.0106096222924072,0,0,1.90753406460106e-06,0,1.31811530149315e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X8411.to",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gle.fr",0,0,0,0,0,0,0,5.02958702558137e-07,0,0,0.971319607128103,7.83226326622849e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.40714184807128e-08,0,0,0,0,0,0,0.00347613192406515,0,0,0,0,2.5960902244749e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.58914068394273e-07,2.97800298504064e-06,0,4.73635009717755e-07,0,0,0,0,0,0,0,0,0,0,1.05970422518423e-06,6.47793059484734e-05,0,0,0.000156146419928442,0,0.0249765421131289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rbs.ln",0,0,0,0,0,0,0,2.86808990209447e-05,0,0,0,0.900331753134194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68436232034876e-06,0,0,0,0,0,0,0.00170781741737961,0,0,0,0,7.73728700042367e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22007426296979e-05,0.000146866906826254,0,2.63036048321234e-05,0,0,0,0,0,0,0,0,0,0,0.0940026918730603,0.00369395871992915,0,0,5.94413196210583e-07,0,7.44792583743459e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X8316.to",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"san.mc",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"wfc",0,0,0,0,0,0,0,5.58167381449405e-05,0,0,0,0.000133966893721078,0,0,0.973021922416252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.70582547943669e-05,0,0,0,0,0,0,0.000436655053118752,0,0,0,0,1.14855203988268e-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000102352299697545,0.000293100090985349,0,5.1471471359491e-05,0,0,0,0,0,0,0,0,0,0,0.0186675321314707,0.00718888144311595,0,0,1.88598692043984e-07,0,1.10546074993824e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"inga.ae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
