"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"1",1,0,0.0576628243025205,0,0.047654095182038,0,0,0,0,0,0.0294405878483975,0,0,0,0,0,0,0,0,0.0322605889021934,0,0,0,0,0,0.0523896316680995,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0312996823723578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0188459892155828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0363519516332789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0.13723756521613,0,0,0.194183837972884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358159708943497,0.0229827088901168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0576631241418021,0,1,0,0.066957512358036,0.103094745819672,0.0193233617135385,0,0,0,0.214583240950855,0.0282187170997483,0,0.0281593264380915,0,0.0595570244974488,0.0341930961635748,0.0512104448157833,0.0226572816211047,0.0903503395749913,0,0,0.0177277315442148,0.0334853858531379,0,0,0.0342166994769328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203846888603905,0,0,0,0,0,0.0125388885678883,0,0,0,0,0.00913903894138729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0402688912802142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0.0105933761150235,0.0236692025458024,0.130894061568997,0,0,0,0,0.0338024080599055,0.0614329366310859,0,0,0.0148882826063392,0,0,0.0638045811645395,0,0,0.0645009402849766,0,0,0.0429881982029354,0,0,0.0281225653605614,0,0,0,0,0,0,0,0,0,0.0277404774009109,0,0,0,0,0,0.0413659711471984,0,0,0,0.0403632708649661,0.0265977125431258,0,0,0.064575739829101,0,0,0,0,0.0751752379235456,0,0,0,0,0,0.0097611770980239,0,0,0,0,0,0,0,0,0,0,0.0554675807328479,0,0.0984604303190766,0,0,0,0,0,0.0216615341329236,0,0,0,0,0,0,0,0.017600161919773,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.0476541420062744,0,0.0669571583610282,0,1,0.0397144159801612,0.0324895104010547,0,0,0,0.0374627557888276,0.0378732992108413,0,0.0566694918023816,0.000791060615571972,0.0511701986046409,0.0444547491171403,0.0245054024915218,0.0764398728702735,0.0957411004471454,0,0.0309834032386027,0,0.0464520490241872,0,0,0.051468439870571,0.0295532530983435,0,0,0,0.0317967908469567,0,0,0,0,0.059325705769744,0,0,0,0,0,0,0,0,0.0273932886593775,0.0636847092347795,0.0886004660115569,0,0.0172587439735013,0,0,0.0521533753490963,0.0172957591511261,0,0,0,0.0375215770251621,0,0,0.000580396550058247,0,0.070330941218474,0,0,0.00170026079252565,0,0,0,0,0.001772432264623,0,0,0.0634442936603383,0,0,0,0,0,0,0,0,0,0,0,0,0.000659977439811989,0,0,0,0,0,0,0,0.00820157905906898,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.103094620802807,0,0.0397140147195757,1,0.0568741004156639,0,0.0732697296837958,0,0.0667661762036643,0.144259361376771,0,0.0351595553079805,0.0108599008460834,0.044301939054522,0.0538389910182364,0.0112416990166523,0.0791726142735217,7.93531889994965e-05,0.039438630999071,0,0,0,0,0,0.000354207861572002,0.0922010213562296,0,0,0,0,0,0,0,0,0.0319987926394857,0,0,0,0,0,0,0,0,0.0382168927916785,0.00182341146843765,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00650068140043304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113578549847121,0,0,0,0,0,0,0,0.00163463528873689,0,0.0295510282397989,0,0,0,0,0,0,0,0.016001326230051,0
"7",0,0,0.0193236362151253,0.0105935658690531,0.0324895524596409,0.0568741943835688,1,0.0157971561291091,0.0372851085781591,0,0.0106416645078617,0.0329039061776009,0,0.0762251580181625,0.00492517901032277,0.0541825826532083,0,0.0344881495745748,0.0257658849354379,0.0517976329151722,0,0,0,0,0,0,0.0798779115649133,0.0433132821790068,0,0,0,0.0470936899739146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0293324735664916,0,0,0,0,0,0.0114145373496222,0.0029416822315227,0,0,0,0.052852968886184,0,0,0.0593476505014879,0,0,0,0,0.0195302187860624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288884398563613,0,0,0,0,0,0,0,0.0360572697574013,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0.023668882983515,0,0,0.0157966512809183,1,0.0567091152826197,0,0,0,0,0,0.0600647728201769,0,0,0,0,0,0,0,0,0,0,0.0446856033936371,0.00890591857143279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393242705303898,0,0.121124945676586,0.0491421714006002,0,0,0.0138922899732859,0.0778795706225864,0,0,0,0.0900270620825356,0,0,0,0,0,0,0,0.012269114963895,0,0,0,0.0722941253354843,0.0563638024960316,0,0.111588210597885,0,0,0,0,0,0,0,0,0,0,0,0.0807592492895527,0,0,0.0202245750611204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0.130893828643608,0,0.0732695366871095,0.0372852316044201,0.0567095980503732,1,0,0.00266035146211059,0,0,0.031232562768591,0.0682589932595341,0,0,0,0.048858437276514,0,0.147252086239864,0,0,0.0743126223891877,0,0,0.0222499690880931,0.0436100819706443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622607116129234,0,0,0,0.00093613525955546,0,0,0,0,0,0,0,0,0,0,0.00933930646078714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824690013341359,0,0.0981101824981371,0,0,0,0,0,0,0,0,0.0423778834177563,0,0,0,0,0,0,0,0,0,0.0352704249847498,0,0,0,0,0,0,0,0.0231976101674398,0
"10",0,0.137236659978169,0,0,0,0,0,0,0,1,0,0,0.191942595788827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00326384312792586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206490261263832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
