"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106"
"1",1,0,0.0937933102250099,0,0.079055555164814,0,0,0,0,0,0.0224295109510422,0,0,0,0,0,0,0,0,0.026852548122406,0,0,0,0,0,0.132473438978195,0,0,0,0,0,0.0138225555419922,0,0,0,0,0,0,0,0.0603268593549728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0371696799993515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",0,1,0,0,0,0,0,0,0,0.154559686779976,0,0,0.375804334878922,0,0,0,0,0,0,0,0,0,0.050012931227684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156677693128586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121366530656815,0,0,0,0,0,0,0,0,0.0566288977861404,0,0,0,0.0480296462774277,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0937933102250099,0,1,0,0.0329078137874603,0.140615344047546,0,0,0,0,0.499116450548172,0,0,0,0,0.104017153382301,0.00349697470664978,0.0298104137182236,0,0.091887891292572,0,0,0.0471343845129013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00588754564523697,0,0,0,0,0,0.00624385476112366,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854872241616249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,1,0,0,0,0,0.272802233695984,0,0,0,0,0,0.0119541585445404,0,0,0.0319814682006836,0,0,0,0,0,0.0472365021705627,0,0,0.0209185630083084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0394391417503357,0,0,0,0,0,0.064821645617485,0,0.0759861022233963,0,0,0,0,0.0810462534427643,0,0,0,0,0,0,0,0,0,0.00974767655134201,0,0,0,0,0,0,0.0301503986120224,0,0.128292888402939,0,0,0,0,0,0.00491145253181458,0,0,0,0,0,0,0,0.104924894869328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0.079055555164814,0,0.0329078137874603,0,1,0,0,0,0,0,0,0,0,0.012593612074852,0,0.0566555038094521,0,0,0.125771567225456,0.142298340797424,0,0,0,0.025905579328537,0,0,0.0319375991821289,0,0,0,0,0.00347816944122314,0,0,0,0,0.0350601375102997,0,0,0,0,0,0,0,0,0.0489566996693611,0.0683682262897491,0.141444474458694,0,0,0,0,0.0376352220773697,0,0,0,0,0.0710254460573196,0,0,0,0,0.130883395671844,0,0,0,0,0,0,0,0,0,0,0.151507467031479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232614055275917,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0.140615344047546,0,0,1,0.0444977730512619,0,0.0732803344726562,0,0,0.298784017562866,0,0,0,0.033998154103756,0.00149045884609222,0,0.0886972546577454,0,0,0,0,0,0,0,0,0.156942099332809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348897129297256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215995460748672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164366513490677,0
"7",0,0,0,0,0,0.0444977730512619,1,0,0.0410521626472473,0,0,0,0,0.0665934532880783,0,0.0875906348228455,0,0.0524108707904816,0,0.0514293760061264,0,0,0,0,0,0,0.114508524537086,0.0283704251050949,0,0,0,0.078753188252449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820845663547516,0,0,0.0664007961750031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00646218657493591,0,0,0,0,0,0,0,0.0890804976224899,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,1,0.0833097249269485,0,0,0,0,0,0.0438079386949539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231229349970818,0.0114307701587677,0,0,0,0.0592429041862488,0,0,0,0.108956143260002,0,0,0,0,0,0,0,0.0457366332411766,0,0,0,0.0702006071805954,0.0969283878803253,0,0.168889418244362,0,0,0,0,0,0,0,0,0,0.0264506116509438,0,0.00359484553337097,0,0,0.012090303003788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0.272802233695984,0,0.0732803344726562,0.0410521626472473,0.0833097249269485,1,0,0,0,0,0,0.0415516048669815,0,0,0,0,0,0.240142896771431,0,0,0.000803425908088684,0,0,0,0.0383784249424934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014725923538208,0.0376473888754845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074458122253418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0975923836231232,0,0.133433863520622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0.154559686779976,0,0,0,0,0,0,0,1,0,0,0.364832103252411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301267206668854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109598845243454,0,0,0,0,0.00412341952323914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0121162384748459
"11",0.0224295109510422,0,0.499116450548172,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.128260597586632,0,0.028500035405159,0,0,0.0636761337518692,0,0,0,0,0,0.0103174448013306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0190297663211823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348190367221832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0.298784017562866,0,0,0,0,0,1,0,0,0,0,0.305472195148468,0,0,0,0,0,0,0,0,0,0,0.00294637680053711,0,0,0,0.138557657599449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355310589075089,0,0,0,0,0.0524715930223465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00313159823417664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0273043513298035,0,0,0,0,0,0,0,0,0,0,0
"13",0,0.375804334878922,0,0,0,0,0,0,0,0.364832103252411,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284132808446884,0.00831243395805359,0.179285526275635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0712564215064049,0,0,0,0,0,0,0,0,0,0,0,0.0228510797023773,0,0,0,0,0.0930257067084312,0,0,0,0,0,0,0.0551241487264633,0,0,0,0,0,0,0,0,0,0,0.00705305486917496,0,0
"14",0,0,0,0,0.012593612074852,0,0.0665934532880783,0,0,0,0,0,0,1,0,0,0,0.0545171648263931,0.0606342554092407,0,0,0,0,0,0,0,0.341828346252441,0.132991001009941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0686571151018143,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335287600755692,0,0,0,0,0.126966774463654,0,0.0747454613447189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0207322835922241,0,0,0,0,0,0,0,0,0,0,0
