"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0,0.140787899494171,0.0732215121388435,0,0.303683400154114,0,0,0,0
"2",0,1,0.240438550710678,0.261316686868668,0,0.0364031679928303,0.177276730537415,0,0,0.153802931308746
"3",0.140787899494171,0.240438550710678,1,0.304725289344788,0,0.0721892789006233,0.296642243862152,0,0.102137573063374,0
"4",0.0732215121388435,0.261316686868668,0.304725289344788,1,0,0.192912459373474,0,0,0.0678689628839493,0
"5",0,0,0,0,1,0,0.157293498516083,0.056541919708252,0,0.0764732360839844
"6",0.303683400154114,0.0364031679928303,0.0721892789006233,0.192912459373474,0,1,0,0,0,0.0682043731212616
"7",0,0.177276730537415,0.296642243862152,0,0.157293498516083,0,1,0,0,0.260364472866058
"8",0,0,0,0,0.056541919708252,0,0,1,0,0
"9",0,0,0.102137573063374,0.0678689628839493,0,0,0,0,1,0
"10",0,0.153802931308746,0,0,0.0764732360839844,0.0682043731212616,0.260364472866058,0,0,1
