    ,   BAC,    BK,     C,    GS,   JPM,    MS,    TD,   TFC,   USB,   WFC,  FROM
BAC ,13.96,8.51,11.85,6.66,10.86,8.67,6.89,11.01,10.73,10.86,8.6
BK  ,11.26,14.86,10.5,5.94,9.75,10.23,5.98,10.79,10.2,10.49,8.51
C   ,11.87,7.47,14.14,6.81,10.69,9.01,7.5,11.09,10.83,10.59,8.59
GS  ,11.05,7.66,10.76,12.06,11.17,9.49,7.04,10.41,9.9,10.47,8.79
JPM ,11.29,8.15,11.19,6.92,13.43,8.07,7.44,11.59,11.26,10.66,8.66
MS  ,11.36,9.1,11.15,7.26,9.95,12.81,6.34,10.88,10.09,11.05,8.72
TD  ,9.7,7.3,10.47,6.83,9.84,7.6,13.67,11.86,12.07,10.66,8.63
TFC ,10.21,7.09,10.61,6.4,10.12,7.54,8.84,15.7,12.78,10.71,8.43
USB ,10.06,7.34,10.88,5.79,10.06,7.27,8.78,12.75,15.42,11.65,8.46
WFC ,10.57,6.8,10.84,5.8,9.64,7.63,8.53,11.64,12.88,15.66,8.43
TO  ,9.74,6.94,9.83,5.84,9.21,7.55,6.73,10.2,10.07,9.71,85.83
