"Source","Target","Type","Weight"
"V1","V2","Directed",0
"V1","V3","Directed",0
"V1","V4","Directed",0
"V1","V5","Directed",0
"V1","V6","Directed",0
"V1","V7","Directed",0
"V1","V8","Directed",0
"V1","V9","Directed",0
"V1","V10","Directed",0
"V1","V11","Directed",0
"V1","V12","Directed",0
"V1","V13","Directed",0
"V1","V14","Directed",0
"V1","V15","Directed",0
"V1","V16","Directed",0
"V1","V17","Directed",0
"V1","V18","Directed",0
"V1","V19","Directed",0
"V1","V20","Directed",0
"V1","V21","Directed",0
"V1","V22","Directed",0
"V1","V23","Directed",0
"V1","V24","Directed",0
"V1","V25","Directed",0
"V1","V26","Directed",0.023851363
"V1","V27","Directed",0
"V1","V28","Directed",0
"V1","V29","Directed",0
"V1","V30","Directed",0
"V1","V31","Directed",0
"V1","V32","Directed",0
"V1","V33","Directed",0
"V1","V34","Directed",0
"V1","V35","Directed",0
"V1","V36","Directed",0
"V1","V37","Directed",0
"V1","V38","Directed",0
"V1","V39","Directed",0
"V1","V40","Directed",0
"V1","V41","Directed",0
"V1","V42","Directed",0
"V1","V43","Directed",0
"V1","V44","Directed",0
"V1","V45","Directed",0
"V1","V46","Directed",0
"V1","V47","Directed",0
"V1","V48","Directed",0
"V1","V49","Directed",0
"V1","V50","Directed",0
"V1","V51","Directed",0
"V1","V52","Directed",0
"V1","V53","Directed",0
"V1","V54","Directed",0
"V1","V55","Directed",0
"V1","V56","Directed",0
"V1","V57","Directed",0
"V1","V58","Directed",0
"V1","V59","Directed",0
"V1","V60","Directed",0
"V1","V61","Directed",0
"V1","V62","Directed",0
"V1","V63","Directed",0
"V1","V64","Directed",0
"V1","V65","Directed",0
"V1","V66","Directed",0
"V1","V67","Directed",0
"V1","V68","Directed",0
"V1","V69","Directed",0
"V1","V70","Directed",0
"V1","V71","Directed",0
"V1","V72","Directed",0
"V1","V73","Directed",0
"V1","V74","Directed",0
"V1","V75","Directed",0
"V1","V76","Directed",0
"V1","V77","Directed",0
"V1","V78","Directed",0
"V1","V79","Directed",0
"V1","V80","Directed",0
"V1","V81","Directed",0
"V1","V82","Directed",0
"V1","V83","Directed",0
"V1","V84","Directed",0
"V1","V85","Directed",0
"V1","V86","Directed",0
"V1","V87","Directed",0
"V1","V88","Directed",0
"V1","V89","Directed",0
"V1","V90","Directed",0
"V1","V91","Directed",0
"V1","V92","Directed",0
"V1","V93","Directed",0
"V1","V94","Directed",0
"V1","V95","Directed",0
"V1","V96","Directed",0
"V1","V97","Directed",0
"V1","V98","Directed",0
"V1","V99","Directed",0
"V1","V100","Directed",0
"V1","V101","Directed",0
"V1","V102","Directed",0
"V1","V103","Directed",0
"V1","V104","Directed",0
"V1","V105","Directed",0
"V1","V106","Directed",0
"V2","V3","Directed",0
"V2","V4","Directed",0
"V2","V5","Directed",0
"V2","V6","Directed",0
"V2","V7","Directed",0
"V2","V8","Directed",0
"V2","V9","Directed",0
"V2","V10","Directed",0.032734066
"V2","V11","Directed",0
"V2","V12","Directed",0
"V2","V13","Directed",0.302025884
"V2","V14","Directed",0
"V2","V15","Directed",0
"V2","V16","Directed",0
"V2","V17","Directed",0
"V2","V18","Directed",0
"V2","V19","Directed",0
"V2","V20","Directed",0
"V2","V21","Directed",0
"V2","V22","Directed",0
"V2","V23","Directed",0
"V2","V24","Directed",0
"V2","V25","Directed",0
"V2","V26","Directed",0
"V2","V27","Directed",0
"V2","V28","Directed",0
"V2","V29","Directed",0
