"","tables.JPM","tables.BAC","tables.C","tables.WFC","tables.GS","tables.MS","tables.BK","tables.USB","tables.PNC","tables.COF","tables.STT","tables.AXP","tables.FITB","tables.RF","tables.X8306.T","tables.X8411.T","tables.X8316.T","tables.X8308.T","tables.X8604.T","tables.X8309.T","tables.X8331.T","tables.X8377.T","tables.X8355.T","tables.X8418.T","tables.TD.TO","tables.RY.TO","tables.BNS.TO","tables.BMO.TO","tables.CM.TO","tables.NA.TO","tables.UCG.MI","tables.ISP.MI","tables.UNI.MI","tables.MB.MI","tables.NAB.AX","tables.CBA.AX","tables.ANZ.AX","tables.WBC.AX","tables.MQG.AX","tables.X600036.SS","tables.X600000.SS","tables.X600016.SS","tables.X600015.SS","tables.HSBA.L","tables.BARC.L","tables.LLOY.L","tables.STAN.L","tables.SAN.MC","tables.BBVA.MC","tables.SAB.MC","tables.SHB.A.ST","tables.SEB.A.ST","tables.SWED.A.ST","tables.BNP.PA","tables.ACA.PA","tables.X055550.KS","tables.X024110.KS","tables.UBSG.SW","tables.CSGN.SW","tables.KBC.BR","tables.ITUB4.SA","tables.BBDC4.SA","tables.DBK.DE","tables.CBK.DE","tables.BIRG.IR","tables.SBIN.NS","tables.BANKBARODA.NS","tables.D05.SI","tables.U11.SI","tables.EBS.VI","tables.DANSKE.CO","tables.INGA.AS","tables.DNB.OL","tables.SBER.ME","tables.ISCTR.IS","tables.SBK.JO"
"JPM",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BAC",0,0.996946327479308,1.47854834808906e-15,0,0,0,3.31332291734465e-12,0,0,4.44953470517187e-11,3.56198436735068e-09,0,1.87906570155718e-15,3.79204021482087e-15,2.05705902204701e-14,0,0,0,4.6446984855881e-11,0,1.20724452084296e-13,8.04558335427452e-13,0,0,0,0,0,0,0,0,1.51887572069908e-08,6.30959672222029e-14,7.65836259565881e-16,6.44462606524188e-15,0,0,0,5.60811313247751e-09,0,0,0,0,0,0,0,3.24872505177786e-19,0,0,0,7.79110964857887e-09,0,0,4.45565989581716e-06,0,0,2.03087133001224e-08,5.87801394389381e-09,0,0,0,0,1.5758074004646e-09,8.72304453290748e-11,5.11445157270875e-10,5.6898009863388e-06,0.00303678100322489,2.52832965898509e-08,0,6.39963611192578e-13,1.25084936682304e-06,3.10156984903607e-15,8.91555736953026e-15,5.40931033375459e-06,0,3.31087242286383e-13,6.15169321760095e-12
"C",0,-1.47854834808906e-15,0.999394023174975,0,0,-1.5288639885407e-16,6.99271113118436e-13,0,-4.70244191259473e-22,8.77977959573347e-12,-1.06498710299792e-07,0,8.93369936328019e-17,-2.1373162633821e-16,-7.25084620545085e-09,-2.0927195988323e-09,-4.50987553909614e-09,-1.50122799673806e-09,-4.79227113238131e-09,-3.6008882474927e-09,-0.00302437271062434,-0.000434816598068806,-6.13955394377611e-10,-4.27073097534055e-10,0,0,0,0,0,0,-1.84216311897248e-08,5.60959303597553e-14,7.61015046597255e-16,5.72964185931772e-15,-1.45400377057773e-16,-2.33740723565808e-17,-1.64624822865905e-14,1.10661501281671e-09,-0.0106751846451081,-2.93207296945851e-13,-1.12721798087817e-12,0,0,-1.60038745428609e-18,-1.82320460545974e-12,-2.59115137837444e-11,-1.2180531343665e-10,-4.38316100177028e-11,-1.0314278958949e-12,7.6570051634825e-09,-1.75424347006768e-13,-8.00218724966923e-13,8.79166195419176e-07,0,-3.92234882386994e-11,3.97106998281983e-09,8.52926069649818e-10,-5.88833260744146e-10,-3.98374797958849e-10,-9.47474265364125e-11,-2.57628446320692e-16,3.1094437630406e-10,-1.56263042359922e-11,-1.2119800561684e-10,1.12267131750242e-06,0.000599229700872428,4.98785646443642e-09,-4.90229217276685e-13,3.40553624937968e-06,2.45962353259257e-07,-6.87025748272756e-11,-3.96592161831441e-10,1.06738658892463e-06,0,-3.85911453082771e-11,1.21993018675834e-12
"WFC",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GS",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000187400451810328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018732370181205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",0,0,1.5288639885407e-16,0,0,0.999684240968128,3.42607673078926e-13,0,0,4.60095429770114e-12,3.68320023760179e-10,0,1.94301112095908e-16,3.92108498516853e-16,2.12706163121084e-15,0,0,0,4.80275958606488e-12,0,1.24832757458716e-14,8.31937803931171e-14,0,0,0,0,0,0,0,0,1.57056371910115e-09,6.52431503053962e-15,7.91897999062558e-17,6.66393948056781e-16,0,0,0,5.79895965051699e-10,0,0,0,0,0,0,0,3.35928057188833e-20,0,0,0,8.05624448323191e-10,0,0,4.60728793123612e-07,0,0,2.09998276067766e-09,6.07804530340457e-10,0,0,0,0,1.62943280857877e-10,9.0198935151735e-12,5.28849857412895e-11,5.88342737741351e-07,0.000314012397559782,2.61436981196968e-09,0,6.61741849966109e-14,1.2934163123555e-07,3.20711761388354e-16,9.21895764697871e-16,5.593391506478e-07,0,3.42354284492026e-14,6.36103800129071e-13
"BK",0,-3.31332291734465e-12,-6.99271113118436e-13,0,0,-3.42607673078926e-13,0.999599045425017,0,-1.05378417801618e-18,5.35115139162365e-12,-0.00092648026559166,0,-2.31991989721925e-12,-7.44984147961631e-12,-6.26361819228469e-05,-1.80778389607989e-05,-3.89568771457738e-05,-1.29631140462025e-05,-2.60974700487903e-05,-3.11059661777696e-05,-1.83545182179521e-08,-7.47634558434085e-06,-5.30250342015914e-06,-3.67884761986161e-06,0,0,0,0,0,0,-8.06924126823186e-09,8.28465284889416e-15,1.00556150082541e-16,8.46194963672349e-16,-1.23314537474723e-12,-1.98236275577689e-13,-1.40606388757911e-10,7.34917051984283e-10,-7.49142616122417e-10,-2.80780834952249e-11,-4.87884905987254e-10,0,0,-3.58635578996809e-15,-1.56282883700976e-08,-2.23819308611295e-07,-1.05220692462522e-06,-3.78637687726207e-07,-8.90994956799157e-09,-3.07409512449247e-07,-7.47925385676813e-14,-6.90693987297745e-09,2.19324959112411e-07,0,-3.38830603019877e-07,-3.10875244592308e-07,-2.63441675279013e-06,-5.0866106884476e-06,-3.44134085341212e-06,-8.1847202045227e-07,-9.79127765329214e-13,2.06124575345504e-10,-2.82926612565929e-07,-1.88348732867542e-06,7.41067151661313e-07,0.000398735593170897,-1.02859993674843e-09,-4.15764663358932e-09,-6.30595255179615e-10,-7.26671193152787e-06,-5.93444316251038e-07,-3.42597250480176e-06,7.10150522147672e-07,0,-5.77332670622766e-11,-1.92925119194995e-13
"USB",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PNC",0,0,4.70244191259473e-22,0,0,0,1.05378417801618e-18,0,0.999999999028796,1.41515010423485e-17,1.13286958811225e-15,0,5.97626538418033e-22,1.20603758838627e-21,6.54236337584565e-21,0,0,0,1.47722087398924e-17,0,3.8395749729114e-20,2.5588536502924e-19,0,0,0,0,0,0,0,0,4.83070090894832e-15,2.00673262504309e-20,2.43570021218572e-22,2.04967796686269e-21,0,0,0,1.7836296174433e-15,0,0,0,0,0,0,0,1.03323918123619e-25,0,0,0,2.47791968415844e-15,0,0,1.41709818751872e-12,0,0,6.45907485790331e-15,1.86947008992346e-15,0,0,0,0,5.01176899335004e-16,2.7743164618181e-17,1.62662326643058e-16,1.80960999125006e-12,9.65831539252175e-10,8.04121378420534e-15,0,2.03536915901121e-19,3.97825779352661e-13,9.8643727625123e-22,2.83554411344122e-21,1.72040147787897e-12,0,1.05300481168919e-19,1.95651228160778e-18
"COF",0,-4.44953470517187e-11,-8.77977959573347e-12,0,0,-4.60095429770114e-12,-5.35115139162365e-12,0,-1.41515010423485e-17,0.999547297670019,5.0757291537784e-10,0,-1.0736338011818e-06,-4.02151548167919e-06,-8.22979715100125e-09,-1.74822697021443e-12,-8.63553306560862e-10,-2.59901860535879e-08,5.73936788453489e-12,-0.000822664912309216,-1.36787305344669e-07,-7.0505154434126e-10,-6.28302282946021e-11,-7.72074241370162e-08,0,0,0,0,0,0,2.2516163390087e-09,9.35388179201741e-15,1.13534068172573e-16,9.55406075252526e-16,-6.53435477470501e-18,-1.0504407512426e-18,-0.000131994763431786,-0.000164230420781572,-0.00129477754406746,-3.59177141555241e-08,-1.66693498517939e-06,0,0,-4.81619659497171e-14,-0.00244124218449746,-0.00139677763236155,-1.37761359856656e-09,-8.37718815326677e-15,-3.69993181131563e-15,1.15501611495849e-09,-6.98270022875699e-19,-1.52942717712343e-14,6.60544838157298e-07,0,-7.49205347319057e-15,3.01004177006975e-09,-7.03126126424617e-08,-9.20917931669681e-12,-2.08306965407903e-11,-1.8097645516332e-14,-3.81932645814946e-07,-3.05094142447276e-07,-5.71093456013572e-11,6.58401397965725e-11,-6.85407521161121e-06,0.000450183623545305,-0.00169617913868135,-0.00246313874066465,9.48250861458419e-14,1.85436364077143e-07,-0.000223992387241243,-7.4431679169946e-14,8.01922082040333e-07,0,-1.83956868918868e-08,9.11979200985209e-13
