"","tables.JPM","tables.BAC","tables.C","tables.WFC","tables.GS","tables.MS","tables.BK","tables.USB","tables.PNC","tables.COF","tables.STT","tables.AXP","tables.FITB","tables.RF","tables.X8306.T","tables.X8411.T","tables.X8316.T","tables.X8308.T","tables.X8604.T","tables.X8309.T","tables.X8331.T","tables.X8377.T","tables.X8355.T","tables.X8418.T","tables.TD.TO","tables.RY.TO","tables.BNS.TO","tables.BMO.TO","tables.CM.TO","tables.NA.TO","tables.UCG.MI","tables.ISP.MI","tables.UNI.MI","tables.MB.MI","tables.NAB.AX","tables.CBA.AX","tables.ANZ.AX","tables.WBC.AX","tables.MQG.AX","tables.X600036.SS","tables.X600000.SS","tables.X600016.SS","tables.X600015.SS","tables.HSBA.L","tables.BARC.L","tables.LLOY.L","tables.STAN.L","tables.SAN.MC","tables.BBVA.MC","tables.SAB.MC","tables.SHB.A.ST","tables.SEB.A.ST","tables.SWED.A.ST","tables.BNP.PA","tables.ACA.PA","tables.X055550.KS","tables.X024110.KS","tables.UBSG.SW","tables.CSGN.SW","tables.KBC.BR","tables.ITUB4.SA","tables.BBDC4.SA","tables.DBK.DE","tables.CBK.DE","tables.BIRG.IR","tables.SBIN.NS","tables.BANKBARODA.NS","tables.D05.SI","tables.U11.SI","tables.EBS.VI","tables.DANSKE.CO","tables.INGA.AS","tables.DNB.OL","tables.SBER.ME","tables.ISCTR.IS","tables.SBK.JO"
"JPM",0.78945647568944,0.00155147055362987,0.000189416284809696,2.467329391742e-06,9.60403027691852e-05,5.01037681073399e-06,1.76913515598224e-07,0.0100460942492753,6.22849752072433e-06,0.000171114050457693,4.64752204756397e-07,0.000929124181530407,4.19069371884801e-05,0.00027871067311699,-3.66356047579423e-07,1.70302078605654e-07,-5.06924127828045e-07,1.41816383645104e-07,0.00779308105028901,4.65123093681622e-05,-1.15709034757926e-06,1.09308477020344e-07,-2.65987522020656e-06,2.70797036519575e-06,-1.59310157536005e-06,-2.69860710595238e-06,-3.25388631096077e-07,-6.0645361711959e-08,0.0346490362835364,-1.98983524661273e-06,0.000629991668024252,4.43945610643097e-05,0.00013375895735632,0.125223826079932,-2.07902407233002e-06,0.00157197353319701,4.35868225538502e-05,0.000319764969572832,-1.20028577852065e-06,-5.84531707058468e-07,-3.36930178370086e-10,0,-2.98833950389843e-11,-2.98781606680727e-08,2.92779035479972e-06,-5.31730560311529e-07,0.000986828165416864,2.14968917535967e-06,-8.03716309697304e-08,0.000106066211434195,1.47446709376135e-06,-4.03866600586393e-08,0.00155088698072064,-1.45987325371891e-07,0.00170769401815917,-5.11396858444567e-08,0.000484829566903298,-4.98315364637521e-08,5.48541189545967e-07,0.00225557332544963,-1.70216139608267e-06,6.67515708880785e-08,2.99016676906423e-05,9.39713153053521e-08,0.000686416347547322,3.94540642154659e-05,0.00316374837671699,-1.24071879119113e-08,-2.24509601547797e-08,0.0128147303823868,5.92101301596968e-07,0.000428439166773567,0.00226870515571913,4.8420542990397e-05,-2.59935944899417e-08,3.48773784283483e-05
"BAC",-0.00155147055362987,0.744362374718022,-0.00140382898612512,-0.00252119291186101,-0.00109713135149612,-0.00225201560847613,-0.00192968569846924,-0.00249592123965071,-0.00201631124732614,-0.00160385660617924,-0.00200472606727063,0.000913878867843292,-0.00174454650331119,-0.00132110699617722,-1.97329469308017e-05,-1.20342280920514e-05,-1.08802826263407e-05,-4.49204443449085e-05,0.00535222285698087,1.06687268989187e-05,-2.15828608505364e-05,-3.54496139558269e-05,-5.53375987059468e-06,-5.28472297678862e-05,-0.000799590831056021,-0.000890651975491281,-0.00128140528109913,-0.00199199118566642,0.115719291388856,-0.00183641583644481,0.00102841244273305,-0.000137224261583786,0.00117213458332661,0.0689002418047261,-0.00139917066605516,0.00195290170200155,-0.00142416115818821,-0.000966507405442915,-0.000574825670901372,-7.68978036775143e-06,-1.28311674564563e-06,0,-5.53362575136261e-08,-1.84367373333182e-05,-0.000279397693956839,-0.000149841328647538,0.000103626741893222,-0.000138192866787544,-0.000256929925405496,-0.000642301386237048,-0.000226568841566125,-0.000128773006852603,0.000771059384836797,-0.0010055882388919,0.00106873040192009,-0.000272864029822503,0.00346210113296306,-0.000103299210070114,-0.000124589027983871,0.00354808120999686,-0.000947565133041984,-0.00235959589715138,-2.48492325317737e-05,-0.000348244112746396,0.000627549611466285,-0.000958204697985973,-9.39365960328595e-05,-2.97128097163562e-05,-0.000171611340025843,0.028164462283319,-0.000116116212261869,0.000219775033090782,0.00173675040301695,3.95956524210365e-05,-4.14631389606918e-05,-3.95952993972248e-06
"C",-0.000189416284809696,0.00140382898612512,0.727337695311255,-0.000129045121502141,-5.83193793326346e-06,-0.000168501358281344,-0.00112246068133154,-0.0025193862852931,0.00020604520869221,5.97496618446859e-05,-0.000137302315557105,0.00122503957454605,-3.35410177666282e-05,0.000687856921732771,-1.29797616095828e-06,-6.89785106040612e-05,-8.8795972952546e-07,-6.37426496246792e-06,0.00756125474502759,4.47167986527379e-05,-0.000127391891919352,-0.000247513829389905,-5.14882569797844e-05,-6.88068828677549e-05,-3.40324680282768e-05,-1.88951021952848e-05,-3.17455353649173e-05,-0.00504759614415772,0.0497374730889336,-0.0128253177336248,0.00151908442469154,4.34301038746259e-05,0.000767863565462726,0.123288875487593,-2.23161266250555e-05,0.00178532503810869,1.03678111356136e-05,0.000209554403418384,0.000303127782116658,-4.74598586956114e-07,-9.91862235439554e-08,0,-4.52017878096758e-09,-3.98022080235535e-07,-0.000703246282859178,-5.44413595001587e-06,0.0007395204690759,-6.21253488770272e-07,-8.02847788259408e-06,1.67674638366925e-05,4.02379583582929e-06,-3.57481393310544e-06,0.00156782933728309,-2.15566841638514e-05,0.000876010382165369,-3.36645522722258e-06,0.000641152304815855,-2.4822118965735e-05,6.26862080761867e-06,0.00140903766774132,-3.00699150168365e-05,-7.70370029443124e-05,-0.000262577943075738,-0.00795627848843412,0.00500687272129077,7.14038330216442e-05,0.000558953548428694,-1.01315885940003e-06,-2.03565925705403e-06,0.000805642036603818,-3.07470705001342e-06,0.0511379565118137,0.00346270946496373,0.0148621947891053,-2.25039334580978e-06,0.000103251854133422
"WFC",-2.467329391742e-06,0.00252119291186101,0.000129045121502141,0.724821440125959,2.68830245416944e-06,4.77110528166694e-07,-2.68730315267576e-06,0.000864090471646092,2.96672297198796e-06,0.000183645388256998,-2.93910108709793e-06,0.000884711401822374,4.00006579304671e-05,0.000244388203686962,-9.15865491552754e-07,-5.814605536254e-05,-8.5999066488208e-07,-3.23583221109761e-07,0.0122768319995285,-0.0011862965064487,-9.13720732569418e-08,-0.00119517083634919,6.85142292300823e-07,3.46110330684573e-06,-3.42981580424185e-06,-3.86841691191216e-06,-4.54334158127246e-06,-7.13857269268171e-06,0.0407622790800138,-5.79307249815452e-06,0.00130458720344467,5.21369264887903e-05,0.000268396826821691,0.199160767109528,-1.00138266109393e-06,0.00206295675951268,6.30178715979205e-05,0.000411717959229627,9.52995721823915e-06,-2.65938358864427e-07,-5.32327487924625e-09,0,-2.13694184224225e-10,-1.60233989331139e-07,-3.24173350546262e-06,-1.84842967544472e-07,0.000430359933790892,-1.03800802095432e-05,-7.4321782421304e-06,0.000300093456899394,1.66872822665053e-06,-3.1044778104277e-06,0.00248671377964642,-9.54125273395854e-06,0.00165609274485539,-1.91168309832292e-05,0.000871391147544121,-1.19407128280623e-06,-0.000340363578471433,0.00164384805484373,-9.33744956767611e-07,-8.63347518520875e-06,4.48746660172979e-05,-8.42312651365123e-06,0.000798331240582266,4.5989035399046e-05,0.000226179134040856,-3.34367078636109e-07,-4.03427146544363e-07,0.000468671197861766,9.17860914103644e-07,0.000625762544778354,0.00192739002326422,3.580421851041e-05,-8.58945667928563e-08,3.80106172074208e-05
"GS",-9.60403027691852e-05,0.00109713135149612,5.83193793326346e-06,-2.68830245416944e-06,0.804017273746013,6.35773318924821e-05,-6.30665877503635e-06,9.63456934205151e-06,5.15659513594792e-06,0.000102328325262297,-2.38827687732244e-05,0.000821400244812876,-0.000186181537748726,0.00487039084780997,-0.000285337256248667,-9.76875052573843e-06,-0.000359198890149319,-0.000210024085489162,0.006079639715396,-5.67645242166009e-05,-1.10892355490089e-06,-5.96039541432781e-05,-0.000159198136353611,-6.47157824517224e-05,-6.25979164604032e-05,-2.79850391434798e-05,-3.39485951372315e-05,-1.34402314164345e-05,0.0428523602553615,-0.000250258187429884,0.000932377290807058,4.55044794286471e-05,0.00107385409494359,0.0962901905571888,-1.51528559271104e-05,0.00150091785042756,-5.86765638617657e-05,0.000250853753329696,-0.0140263007706404,-7.82156169277657e-06,-1.863154855405e-07,0,-3.59303524996175e-09,-5.81994881093076e-06,-0.000100553718303637,-0.000364157188364142,0.000456199521607693,-7.98998186886834e-10,-6.29108708687184e-06,0.000453137808068839,5.1131281662629e-07,-7.62376752003906e-06,0.0139451268052083,-4.07812009522027e-05,0.00103162871481027,-0.000858769793506755,0.00259703476293687,-4.73150420391203e-05,-7.05802407886706e-05,0.00222363302973214,-0.000139412320189063,-0.000187115184865547,1.27031098143499e-05,-8.08960564626375e-06,0.000685419419551951,-0.000693678272732234,-0.00120639517471096,-0.00602875155223842,-0.00511245090800616,0.00116816680423039,-1.02591945118524e-06,0.0046663080824837,0.00232014986977066,0.000974685257949187,-7.2203077619287e-06,-0.000142905986045431
"MS",-5.01037681073399e-06,0.00225201560847613,0.000168501358281344,-4.77110528166694e-07,-6.35773318924821e-05,0.737224550387063,-7.97376548944465e-06,0.00620723297740093,-0.00119099913612248,9.7798596986596e-05,-1.72794107186125e-05,0.00102014424636834,4.03686024906556e-07,-0.0131534757649178,-7.98653268264637e-06,-3.848051433299e-07,-8.97326236736335e-06,-1.28813299996893e-05,0.00965896659581693,-9.50917693247924e-05,3.03458718030577e-06,-6.76065804388585e-07,1.79088957731552e-08,-0.000140126346410883,-1.03673227639614e-05,-1.36532411943844e-05,-1.35970324647378e-05,-2.35918261154644e-05,0.0418745558424178,-1.32373207934832e-05,0.000312609219729716,-0.00015204942449444,0.00210174272793099,0.162067113979372,9.58732736649097e-06,0.00351214197463474,5.79653090942285e-05,0.000476393004510636,2.52364084147586e-05,-1.35244952647823e-05,-7.66206267004096e-07,0,-9.00504691181823e-10,-1.42082879610553e-06,-1.71910886320868e-05,-1.8725897994758e-05,0.00236801033109903,3.30585886555585e-06,-1.66938905727747e-05,8.27921846861776e-05,4.79776461776901e-06,-2.19617995571916e-06,0.00576118126307978,-7.61612241747004e-05,0.00106935040643664,-5.34083131462461e-06,0.00801917915880694,-3.26661372710342e-06,-5.1573690177806e-06,0.001556901889393,-8.05530491410037e-07,-6.59082438149658e-07,3.31776125365393e-05,3.11846695779632e-07,0.00256223706713467,9.8535132252394e-05,0.00172390302757231,-2.07168929571677e-06,-0.000101224505169842,0.00349504587379358,1.0046892285231e-05,0.000401387398125759,0.00302614219138263,3.96190242387219e-05,-1.66433732554e-06,4.41298304880481e-05
"BK",-1.76913515598224e-07,0.00192968569846924,0.00112246068133154,2.68730315267576e-06,6.30665877503635e-06,7.97376548944465e-06,0.759024469944431,1.22577240557296e-05,1.43605702454366e-06,2.61919849465917e-05,6.83861105853805e-07,0.00150718105215313,5.76584743025884e-06,0.000442530517071591,-2.68168813507188e-07,1.09386862098478e-06,-3.05754910371735e-07,4.96231589686731e-08,0.00870965636865302,-0.00391437970093611,8.22222800118544e-07,6.54702464591819e-07,-9.51812670760124e-07,0.000148395518246642,-1.00283986728742e-06,-2.09046796617756e-06,-4.5740024392662e-07,-5.47516222885306e-07,0.0644604024713535,-8.0472213800897e-07,9.04382139787291e-05,4.63042709715978e-05,0.000786384671368725,0.145632856040955,3.35417738876338e-06,0.0022462436794529,5.94517949466279e-05,0.00040453596394431,9.39761284426802e-06,-1.6566946527992e-07,-4.98676216229352e-10,0,-3.19929678929232e-11,-1.10304670779314e-08,1.0216169455144e-06,-1.82028283876328e-07,6.09196845467515e-05,-5.49745708946376e-06,-6.87645254849127e-06,2.13068140231124e-05,4.82296116106554e-06,-9.63575746226683e-08,0.00183251322903135,-8.96848002912956e-08,0.00139493391647029,-1.20396365021882e-07,0.00288761686200161,-8.17250464598505e-08,6.5556694797258e-07,0.00019836152215762,-3.93549742142087e-07,1.618338837661e-06,3.41383127177136e-05,1.42918303056652e-06,0.00270247293540544,3.07753388246532e-05,0.000729530547474838,-2.65489431806801e-08,-1.64092532741534e-08,0.000369791552390404,3.87928807369494e-06,0.000141709988753193,0.00271570545046942,5.47879528786408e-05,-9.60159776992461e-09,3.40396009080758e-05
"USB",-0.0100460942492753,0.00249592123965071,0.0025193862852931,-0.000864090471646092,-9.63456934205151e-06,-0.00620723297740093,-1.22577240557296e-05,0.74416540116876,-0.00049389823448573,-0.0160456920687436,-2.16350839371761e-05,-0.00322742887955722,-0.0083128406635936,6.30757276543244e-05,-6.35720901468291e-05,-8.80454079467832e-06,-4.15202527846026e-05,-0.000117525290232573,0.011244373935508,2.92319906383336e-05,-7.87550964915012e-05,-1.30599689960706e-05,-0.000146353718755046,-1.36946742798018e-05,-8.14030866324527e-05,-9.26511194642265e-05,-7.88786740880016e-05,-0.000137495187521268,0.0232294525618273,-0.000131232103104366,-0.000733790515725906,2.18662029462225e-05,0.00114785943276983,0.189038951581169,-9.92289848608934e-05,0.0014607106825888,-0.000113724343360347,0.000182160716955442,-0.00717015530350663,-2.56052874932266e-05,-2.91417052159965e-06,0,-4.51560483972738e-07,-9.07479563233539e-06,-0.000197521199786576,-4.28822164365187e-05,7.4591900326681e-05,-3.25783520695946e-05,-3.46783449318966e-05,3.57670575677453e-05,-2.19871662928415e-06,-1.53633798220805e-05,0.00272231995606699,-1.06643171625716e-05,0.000968885566436658,-0.000224576536392582,0.00462454802919255,-2.46773220979504e-05,-1.19597756184052e-05,0.00658529080573922,-0.00181333270204751,-0.00275675782651065,3.0502987891709e-05,-3.17194891702483e-06,0.000356765719710452,-9.98443466256274e-05,0.000104262148365886,-4.3226476559828e-05,-8.3318078140074e-06,0.000163431735807118,-0.00021764609828457,6.27490197718521e-05,0.0032826513912804,0.000789000703690763,-1.58300854500625e-06,-0.00442409378586838
"PNC",-6.22849752072433e-06,0.00201631124732614,-0.00020604520869221,-2.96672297198796e-06,-5.15659513594792e-06,0.00119099913612248,-1.43605702454366e-06,0.00049389823448573,0.774771451677155,-0.000370770623923231,-1.16349153596305e-06,0.000748579395809584,-0.000405121817142558,0.00184487991077433,-0.00030683819444093,-6.68999855016249e-05,-0.000350241471134673,-0.000156258161647265,0.00988929312687555,-0.000373864836608554,-7.4285428978863e-06,1.77354978177865e-07,-1.62599792223066e-05,-1.07134980258071e-05,-1.02329392963611e-05,-1.78198168933326e-05,-6.4805249681123e-06,-2.08779208648532e-06,0.0311672279072962,-5.7634634413014e-05,0.00031866019475289,-0.000282715480760412,0.000432027966730523,0.158211231510281,-1.3180535943312e-05,0.0016825807925471,2.89067582794831e-05,0.000310189596614684,0.000361042525078674,-4.18332771568621e-06,-2.10041201507121e-07,0,-1.45504352401032e-08,-1.49231535094719e-06,-0.012713316163427,-0.0120068411234309,7.94959066069989e-05,5.50321967065177e-07,-3.95837448073926e-06,-0.000180161905720589,-1.11388581270459e-06,-9.40231405371485e-07,0.0022083440657513,-2.92700128330681e-06,0.0016989711824999,-3.36632511534376e-05,0.000990508610562237,-2.71109598475901e-05,-5.03838971641107e-05,0.000670317506667141,-1.35162636918223e-05,-6.92629362041123e-06,3.69137794659873e-05,-9.27759787537347e-06,0.000781855598448237,5.34127689996368e-05,0.00109281850529136,-1.15796158768157e-05,-2.88122736613284e-06,0.00107134333029349,-2.58296344964216e-06,-0.0027499387386769,0.00308895733028723,0.000728265423749471,-3.04171569390969e-05,4.38178255949645e-05
"COF",-0.000171114050457693,0.00160385660617924,-5.97496618446859e-05,-0.000183645388256998,-0.000102328325262297,-9.7798596986596e-05,-2.61919849465917e-05,0.0160456920687436,0.000370770623923231,0.676398842950582,-6.53775592448265e-05,-2.84686741226715e-05,-0.000601158444962763,-4.8896460686674e-05,-0.000472995874941813,-0.000113421965504686,-0.000523122533331973,-0.00141930511743078,0.00915629990854252,-0.000185904672107327,-0.00262510023465677,-0.000180645834482026,-0.00180317296793833,-0.000245355449426535,-0.00081698729415959,-0.00130421134958375,-0.000306502090447086,-5.68408316278625e-05,0.0104220203623686,-0.000989395058738422,-0.0151499790886444,2.80305209539209e-06,0.00159886262013903,0.142486569104462,-0.000903728796813301,0.0003741957735842,-0.00157016782858521,-0.000791516167057489,-0.0482243416474454,-0.000217492184696843,-5.76196374000833e-07,0,-1.50673592632039e-05,-4.08337895527625e-05,-0.000909246476793922,-0.000375422709993616,0.0232601518991039,-0.000289689260335614,-0.000120281006499305,0.000153619685483571,-5.62566708516491e-06,-0.000168604610174163,0.00322573979083268,-9.65705260587252e-05,0.00185472332757034,-0.00510950938977604,0.00200392683172245,-0.000223715426728296,-0.000132779831420956,-0.0198493227056546,-0.000819814453296339,-0.000451249448720141,-6.08242715580847e-05,-2.44334669201491e-05,-0.000108685899122521,-0.00018971523450539,0.00947148930564028,-0.00174646461526532,-0.000200980615792299,-0.00465116537513142,-0.00697726362038931,0.068017852116564,0.00404516767521794,0.00235358208930893,-1.41879015436551e-05,-0.00031666881068594
