"","tables.JPM","tables.BAC","tables.C","tables.WFC","tables.GS","tables.MS","tables.BK","tables.USB","tables.PNC","tables.COF","tables.STT","tables.AXP","tables.FITB","tables.RF","tables.X8306.T","tables.X8411.T","tables.X8316.T","tables.X8308.T","tables.X8604.T","tables.X8309.T","tables.X8331.T","tables.X8377.T","tables.X8355.T","tables.X8418.T","tables.TD.TO","tables.RY.TO","tables.BNS.TO","tables.BMO.TO","tables.CM.TO","tables.NA.TO","tables.UCG.MI","tables.ISP.MI","tables.UNI.MI","tables.MB.MI","tables.NAB.AX","tables.CBA.AX","tables.ANZ.AX","tables.WBC.AX","tables.MQG.AX","tables.X600036.SS","tables.X600000.SS","tables.X600016.SS","tables.X600015.SS","tables.HSBA.L","tables.BARC.L","tables.LLOY.L","tables.STAN.L","tables.SAN.MC","tables.BBVA.MC","tables.SAB.MC","tables.SHB.A.ST","tables.SEB.A.ST","tables.SWED.A.ST","tables.BNP.PA","tables.ACA.PA","tables.X055550.KS","tables.X024110.KS","tables.UBSG.SW","tables.CSGN.SW","tables.KBC.BR","tables.ITUB4.SA","tables.BBDC4.SA","tables.DBK.DE","tables.CBK.DE","tables.BIRG.IR","tables.SBIN.NS","tables.BANKBARODA.NS","tables.D05.SI","tables.U11.SI","tables.EBS.VI","tables.DANSKE.CO","tables.INGA.AS","tables.DNB.OL","tables.SBER.ME","tables.ISCTR.IS","tables.SBK.JO"
"JPM",0.759831956494657,0.00547087070936117,0.000624207084146524,1.34303809540933e-05,0.00015719691725727,-1.17556567281548e-06,-1.4817278985225e-06,0.00576576936944608,1.13710323774522e-05,0.000188060980666902,-2.38374542667986e-06,0.000806633108214661,0.000182894475631575,0.000373144115187744,-2.28362498366803e-05,-1.76477692573096e-06,-3.01952568486109e-05,-2.47456588636417e-05,0.0161045653790344,2.88411060634739e-05,-2.49985761438572e-05,-3.52892706499515e-07,-4.5279684015101e-05,1.82220207021037e-07,-2.59117471528724e-05,-2.92753257158254e-06,-1.27008331614521e-05,-2.00027519364913e-06,0.0328710703165586,-6.27757067590505e-05,0.00287195589271751,0.000130077220148276,8.22959394649655e-05,0.135232691415487,-5.96168263307284e-05,0.00149230826688265,1.50987823055492e-05,0.000270345317729836,-0.000176081778816198,-9.67828217249284e-06,-5.03507154436466e-10,0,0,-1.53811307067175e-06,-2.89351444770293e-05,-6.52052520417882e-05,0.002106469056848,2.70447626628486e-05,-2.18904323446183e-06,3.74943436884415e-05,1.46699575285562e-06,-4.18521881689674e-06,0.00168539481897329,-1.22044080237202e-05,0.00398097626956819,-3.79296350285473e-06,0.000311512799315922,-2.60823861012116e-06,-5.90002336465126e-06,0.00164966824835309,-6.51993873261332e-05,-7.1518450374158e-05,1.66329514565505e-06,-1.01460561639305e-06,0.00167957691858711,-9.54818478063022e-05,0.00250336872839159,-3.15484897491365e-07,-5.05192074818277e-07,0.0149704228536667,-1.78362816123964e-06,0.000455201000631462,0.00537884330908188,4.98904262772926e-05,-7.33002641302906e-07,1.14972906127313e-06
"BAC",-0.00547087070936117,0.720805208556858,-0.00461720504674117,-0.00828506168839776,-0.00295481233021004,-0.00684255491985798,-0.00800629342721648,-0.00944775044541536,-0.00705034292327195,-0.00611289103327212,-0.00716055910337784,-0.00405424004041486,-0.00546350138997593,-0.00384554148713162,-3.85004437971093e-05,-4.47824699927512e-05,-2.84070173047075e-05,-9.06165780764559e-05,0.0126871143234226,-0.000165744922390051,-6.92464916180311e-05,-0.000132320920749766,-3.05756162092315e-05,-0.000210236457973919,-0.00280099984033541,-0.00265420362116937,-0.00306561092109147,-0.0054319813764959,0.108479023805485,-0.00647111364053609,0.00311202943544725,-0.000856162267946578,0.00111540791675782,0.0535036607440528,-0.00443618790638367,0.000176459721775913,-0.00437272340251273,-0.00406002904734018,-0.00170183320826895,-1.48584277873579e-05,-3.84779801661194e-07,0,0,-0.000112328807411279,-0.00102972099163139,-0.000767031487271044,-0.000121330711001693,-0.000671942540871145,-0.00117596991640933,-0.00324401918539335,-0.00078535422708727,-0.000532311732671421,0.000554894027949632,-0.00425663987902067,0.00117883311465248,-0.000227228591910072,0.00303486747305833,-0.000613562619758441,-0.000481047033035477,0.00508280155426213,-0.00416120155287161,-0.00770569147718769,-0.000176600005615459,-0.00178330235017887,-0.00140001730693902,-0.0109609400256213,-0.00191686200542598,-0.000115404534657835,-0.000576951146681143,0.0304134165897334,-0.000354721165194755,0.000155298515206264,0.00513260794114098,-1.03445850992187e-05,-6.63074282036366e-05,-6.65570130259611e-06
"C",-0.000624207084146524,0.00461720504674117,0.704291555911095,-0.000334982387888812,0.000128729483542746,-0.00073227825091542,-0.00699890732414669,-0.0116349161864992,0.00024537569580329,-0.000313235836049051,-0.000526381480872844,0.000582028628800122,6.37130088413552e-05,0.000690863180222809,-4.659733472793e-06,-0.000158940878667235,-5.72982193509919e-06,-5.38124953496318e-06,0.020271970575613,-3.44654701342016e-05,-0.000217920196768053,-0.000315158351663656,-5.79514473378527e-06,-0.000178493087712303,0.000235061487251039,2.46731255815435e-05,-0.000870594547231575,-0.00783522736443195,0.0383174020289456,-0.0276225906002191,0.00606030656993407,0.000163609847483905,0.000140961780853873,0.130956056544975,-2.46482414622832e-05,0.00158228157316583,9.93642070534894e-05,0.000226968079623404,0.000181988114640668,-6.07763556870772e-06,-1.06623152474381e-08,0,0,-2.56104595165728e-06,-0.00210472746074177,-1.0855488612811e-05,4.21597374980618e-05,0.000616087578511864,-1.37557262814584e-05,1.99997135721722e-05,7.93474435810795e-09,-7.24756381282054e-06,0.00201967889309869,-2.78577004688845e-05,0.00213784959597684,-5.72288596745577e-05,0.000503205118698175,-0.000232511361040262,-2.693386334648e-05,0.000729565888200811,-2.45607059705178e-05,-0.000101998620671852,-0.00232197910319306,-0.0160416530128961,0.00838072363681927,-3.35525047415978e-05,5.13923898336317e-05,-2.76436806306933e-05,-1.77163205105321e-05,0.00135770515248626,-2.04598639836808e-06,0.0481972751378558,0.00694591499336783,0.00933182828219826,-3.49713729832594e-06,0.000316092816212
"WFC",-1.34303809540933e-05,0.00828506168839776,0.000334982387888812,0.687711122027914,6.75314888088448e-06,-1.94756089713855e-05,-2.17275533227549e-05,0.000225112882216653,3.77532234840015e-07,0.000241866926250592,-2.59235881762865e-05,0.000533832048840888,0.000178875536027847,0.000320206215012263,-3.25867954330405e-06,-4.49448235138975e-06,-3.13593213204001e-06,-2.46044685060911e-06,0.0225476548140093,-0.000723515572415447,-3.33408482400003e-07,-0.00054207331114548,-2.21379049846779e-07,-0.000179336635395612,-1.4763992198952e-05,2.8665119348183e-05,-1.82411424065004e-05,-2.61865827857181e-05,0.0404557579485809,-2.51289826330105e-05,0.00495669075866792,0.000152078687433244,0.000151534242124368,0.200898916752712,-8.49361697169027e-06,0.00196901684865679,0.000138497499422387,0.000378888427246386,1.14369394244528e-05,-5.38169073625463e-07,-3.0405931751631e-09,0,0,-1.28097653300995e-06,-1.66857753189819e-05,-3.07108201557816e-06,2.38862976933349e-05,2.56313555864785e-05,-1.59547774553678e-05,0.0036843771352169,4.78745297612619e-05,-2.06489258332815e-05,0.00288340741406842,-3.58032157291499e-05,0.00279652896786878,-7.48639055062873e-05,0.000602446924626351,-8.40128922837777e-06,0.00364024110610208,0.00292624344935239,-1.19712342111914e-05,-6.85631068647984e-05,3.18441402228955e-07,-2.21031212780136e-05,0.00156048383269323,-3.03355856682048e-05,0.00040806819804241,-3.47541699359057e-06,-1.51462623302326e-06,0.00100370387720967,-0.000666513483243711,0.00036392178374556,0.00474207852297642,4.80524903643223e-05,-7.44694194519855e-07,0.000179727313521639
"GS",-0.00015719691725727,0.00295481233021004,-0.000128729483542746,-6.75314888088448e-06,0.804564820180732,-1.8073247985133e-05,-1.06461288818137e-05,1.19974043967948e-05,-3.49479787496991e-05,-0.000381387132234889,-0.000155241285332412,0.000199064495209821,-0.000391697199344242,0.0015871364382674,-0.000824987082135384,-7.37686191819644e-05,-0.000991642871608584,-0.000529767046836836,0.0133113690629826,-0.000407684673949651,-1.61807088775739e-05,-0.000120162961041141,-8.08768539782419e-05,-4.64064778061309e-05,-0.000124361977850404,-5.45960766794867e-05,-0.000130012402123314,-2.95758485539421e-05,0.0373808974452329,-0.000540226959502793,0.00388753157455217,0.000144487189326416,0.000966353322677309,0.0742085399855834,-0.000116785615032696,0.00113442579975959,-0.000263180389803953,0.000180830841646384,-0.00694352935620167,-2.12572555270482e-06,-3.93969155275864e-08,0,0,-1.1185768684478e-05,-0.000101693527359249,-0.000398918895858511,-0.000492411341372241,8.06343580933687e-06,-4.23986985573507e-05,0.00377319841481294,0.000165557875996742,-7.19021440338519e-05,0.025774840438543,-0.000102974235411145,0.00498731489681837,-0.00108054504176082,0.0025240288860304,-7.10512273629945e-05,-0.00014712257923147,0.00109521272217245,-0.000324244101069965,-0.000423672232022345,-3.56292349289708e-05,-1.96083013730048e-05,0.00139357974405373,5.65339777629292e-05,-0.0117172086214848,-0.000684236697053347,-0.00235416187884687,0.000171017113947427,-8.48470065420629e-07,-0.00226510005182148,0.00513710516981587,-4.02853711952233e-05,-1.85659278520974e-05,-0.000212266698029077
"MS",1.17556567281548e-06,0.00684255491985798,0.00073227825091542,1.94756089713855e-05,1.8073247985133e-05,0.719422914357313,-2.98179541107008e-06,0.00436336088165375,-3.11086050838925e-06,0.000217645104020381,-6.81092186674888e-06,0.000595924471912038,0.000144863117453896,-0.00714760978335534,-2.78601132964907e-06,-5.65601239397832e-07,-3.17795320611492e-06,-1.118638919091e-06,0.0195887272657804,5.92195395525312e-05,1.10379418227194e-07,1.07445937450148e-06,-3.63082942529323e-07,-4.9180322222378e-05,-8.57830283475188e-06,2.3191650286034e-05,-1.18615371245073e-05,-1.99917571412078e-05,0.033132584321387,-5.13186657493216e-06,0.00360259302440085,6.14656270163566e-05,0.00248490479783154,0.156274508463307,9.89852454720885e-06,0.00947207593135117,0.000142667220691188,0.000565545087055068,4.02533661709579e-05,-1.1004988852687e-06,-8.16327315964907e-10,0,0,-3.31773837055195e-07,-6.15859173841316e-06,-1.69319178781418e-07,3.27592845880907e-05,6.9810904081369e-05,-2.57081487896066e-05,0.000359850825972842,3.16438037939997e-06,-2.56805641394212e-06,0.00710950260588026,-0.000108293556481891,0.00726103745128117,-2.42792934149971e-06,0.00833296269990787,-1.99541646184446e-06,5.62328819440593e-05,0.00153073816627682,1.47327543740165e-06,-5.58932496532982e-06,6.70623319417755e-07,-3.06003499708186e-07,0.00493964626146054,0.000191391997830505,0.000999831105987372,-1.15255768845572e-06,-8.48176231070724e-05,0.00153318711772779,3.42563744387742e-05,0.000383699802660472,0.00658573284658597,4.62244654907039e-05,-5.48678520621236e-07,0.000276619323563535
"BK",1.4817278985225e-06,0.00800629342721648,0.00699890732414669,2.17275533227549e-05,1.06461288818137e-05,2.98179541107008e-06,0.685909020257803,1.21882867567976e-05,1.47330048197046e-05,6.46426640822847e-05,-1.25119366359127e-06,0.000838985391265828,3.80706045376923e-05,0.000343062469572864,-2.6281385691103e-07,5.34071879491035e-08,-2.7840915072436e-07,-9.77779069326574e-08,0.0194228915439338,-0.0104665030698547,-1.69247607844393e-07,1.34394948323613e-06,-4.59736470834555e-07,0.000319928548071316,3.10290261501142e-06,6.1452503121949e-05,-5.82854743961276e-07,-1.25708889098245e-06,0.0601778476305127,-5.47119954324908e-07,0.00127866086770623,5.03609272288728e-05,0.000538436429975551,0.192325676016008,3.2139381349179e-07,0.00236428677297455,0.000147813249345686,0.000390582716369381,1.33861224473524e-05,-1.18155256680719e-07,-5.22386088992021e-11,0,0,-1.26304884756543e-06,-3.01913285910216e-07,-1.81731518670598e-06,2.12431426809353e-05,4.69405222968963e-05,6.0929141767652e-08,2.06318433252032e-05,3.78962504111822e-06,-1.33722570551237e-07,0.0024461141072097,-4.34622500495776e-07,0.00287982479659404,-4.24851716210032e-07,0.00182900997990275,-1.16076814565308e-06,6.37300383963832e-07,0.000217541016560928,2.62883016801038e-07,4.31669095837615e-07,1.84302385843073e-06,2.81000166301642e-06,0.00493738752487159,3.51645475108863e-05,7.23172977268669e-05,-1.04582080491324e-07,-6.47633806415633e-08,0.00122083439909241,7.1465637731878e-06,7.57140756973444e-05,0.00638621852927845,0.000176882188409808,-1.4605734679072e-08,0.000101606612027307
"USB",-0.00576576936944608,0.00944775044541536,0.0116349161864992,-0.000225112882216653,-1.19974043967948e-05,-0.00436336088165375,-1.21882867567976e-05,0.676996304947876,-1.97993269148524e-05,-0.0160801237123079,-2.86315995284253e-05,-0.0021479817016237,-0.00939053765756248,-2.07813387802658e-05,-5.89334389992373e-05,-1.2338160444194e-05,-5.18303938759698e-05,-0.000142851767339847,0.0219023271957047,-6.1002983192852e-05,-0.000194036584224944,-1.04353741833539e-05,-0.00021375202345015,-1.85502071148895e-05,-9.69674198175935e-05,-0.000112612930296471,-0.000102617350663663,-0.000112624223786159,0.0181803942250355,-0.000773271225259119,0.000202199183664147,8.14190103522078e-05,0.000717803596114774,0.226209305208147,-0.000150018561651336,0.00130389687382985,-0.000127763613447546,0.000117322883263207,-0.0114580440482413,-3.17967892781244e-05,-6.48413296757985e-07,0,0,-1.48315654680501e-05,-0.000133815709561214,-3.92181956364465e-05,1.49834785854631e-05,-3.0905569032753e-06,-6.99825829095435e-05,-1.59084305832378e-05,-2.66596561347941e-06,-2.87826704326196e-05,0.00298842098542976,-3.34213278279406e-05,0.00221754871840135,-0.000321975960513968,0.00245804298452175,-3.97702293846364e-05,-2.91794276081664e-05,0.0094692062698658,-0.000184664186674611,-0.0012778664896027,-3.86401162504797e-05,-1.41230443568132e-05,0.000708963838263858,-0.000310782947882257,0.000387987365276519,-3.68311986575683e-05,-9.09944573107658e-06,0.00078569574824663,-0.000222533908321272,0.000151631478885144,0.00676611275121827,0.000346428681743421,-4.68488531314183e-06,-0.00522662731891036
"PNC",-1.13710323774522e-05,0.00705034292327195,-0.00024537569580329,-3.77532234840015e-07,3.49479787496991e-05,3.11086050838925e-06,-1.47330048197046e-05,1.97993269148524e-05,0.740804985488863,-0.000896765721329909,-3.83336014025345e-05,0.000465706748420663,-0.000109259774150294,0.00245860558705706,-0.000307155036071733,-8.95221798574642e-05,-0.000368999619814449,-0.000101161193707768,0.0222354066466845,-0.000447062977492181,-2.18250043780157e-05,-1.54716216722604e-06,-2.79027117313036e-05,-7.47431045994649e-07,-5.05958406982672e-05,-2.44788771417262e-05,-0.000110624496937677,-9.13849960179891e-05,0.0228538318459077,-3.32119187558344e-05,0.00277549544704667,-0.0048560130096046,0.00019510680780821,0.172072919909437,-3.44343492760006e-05,0.00132279661867385,8.5059200071174e-05,0.00028514149385801,0.000870567513859476,-4.64234003134655e-06,-1.63635642634544e-08,0,0,-5.88161369803272e-05,-0.0206311163004551,-0.0176452396085562,2.2929506407817e-05,2.2732699010503e-05,-2.36342265280141e-05,-0.000461548350714874,2.44633925990311e-07,-0.000403258463710282,0.00217569969854686,-1.2912136573436e-05,0.00672824662850486,-5.26634703099366e-05,0.000391808180457392,-6.46998161407731e-05,-5.74107046040354e-05,0.000479897786170322,-6.61501492447272e-05,-0.000133302575799532,-8.28422055581047e-05,-1.21556459236621e-05,-0.000836018101439525,1.50850148614309e-05,0.000591261690170162,-0.00130488470071692,-2.72457361084666e-06,0.0023313355502397,-3.87956419431295e-06,-0.00380000479201264,0.00674865751460397,-0.000151556372487289,-2.83711593187721e-05,0.000129112877082933
"COF",-0.000188060980666902,0.00611289103327212,0.000313235836049051,-0.000241866926250592,0.000381387132234889,-0.000217645104020381,-6.46426640822847e-05,0.0160801237123079,0.000896765721329909,0.658281758109501,-0.000131282955643033,0.000190883818199758,-9.34463310320469e-05,0.000100010793945119,-0.000405653776417753,-0.000106309857956141,-0.000433651201116373,-0.00151246739139588,0.0274946274646587,-0.000307375629593373,-0.00609490610035651,-4.71275962318025e-05,-0.00151186908284946,-3.74825222169005e-05,-0.000626787284745243,-0.000961493716870567,-0.000370749056075143,-0.000122749394614256,0.00766972456468357,-0.000861546681082449,-0.00391541234747568,0.000153315059968866,0.00118172187812256,0.15339406551654,-0.000981593342706578,0.000238896260856391,-0.00131782548773281,-0.000664946051557877,-0.0362536536566135,-0.000231856741606395,-4.91140835654627e-08,0,0,-0.000287341037564665,-0.000704548631021792,-0.000343682825962921,0.00773578534907799,-0.000170544577469184,-0.000332446322950341,-0.000126072333422146,-5.0314125518447e-05,-0.000180116754446458,0.00627871453539186,-0.00020185371793825,0.0037057801889617,-0.0121102812486581,0.00145462779964606,-0.000318463012377946,-0.000225533262940105,-0.00277483200975094,-0.000786150643030276,-0.000550386076387567,-0.000242338880106801,-0.000169691156760106,-0.00145191736741345,-0.000467775106015068,0.00771850658686205,-0.0013491963173369,-4.34540209741161e-05,-0.00234049042533967,-0.00696953394060584,0.0442044319787956,0.0090964540477332,0.0042859130732078,-3.3358835383553e-05,0.000104644825101286
