"","tables.JPM","tables.BAC","tables.C","tables.WFC","tables.GS","tables.MS","tables.BK","tables.USB","tables.PNC","tables.COF","tables.STT","tables.AXP","tables.FITB","tables.RF","tables.X8306.T","tables.X8411.T","tables.X8316.T","tables.X8308.T","tables.X8604.T","tables.X8309.T","tables.X8331.T","tables.X8377.T","tables.X8355.T","tables.X8418.T","tables.TD.TO","tables.RY.TO","tables.BNS.TO","tables.BMO.TO","tables.CM.TO","tables.NA.TO","tables.UCG.MI","tables.ISP.MI","tables.UNI.MI","tables.MB.MI","tables.NAB.AX","tables.CBA.AX","tables.ANZ.AX","tables.WBC.AX","tables.MQG.AX","tables.X600036.SS","tables.X600000.SS","tables.X600016.SS","tables.X600015.SS","tables.HSBA.L","tables.BARC.L","tables.LLOY.L","tables.STAN.L","tables.SAN.MC","tables.BBVA.MC","tables.SAB.MC","tables.SHB.A.ST","tables.SEB.A.ST","tables.SWED.A.ST","tables.BNP.PA","tables.ACA.PA","tables.X055550.KS","tables.X024110.KS","tables.UBSG.SW","tables.CSGN.SW","tables.KBC.BR","tables.ITUB4.SA","tables.BBDC4.SA","tables.DBK.DE","tables.CBK.DE","tables.BIRG.IR","tables.SBIN.NS","tables.BANKBARODA.NS","tables.D05.SI","tables.U11.SI","tables.EBS.VI","tables.DANSKE.CO","tables.INGA.AS","tables.DNB.OL","tables.SBER.ME","tables.ISCTR.IS","tables.SBK.JO"
"JPM",0.722992828773238,0,0,8.54705023732597e-10,0,6.29303064945185e-06,3.12511655866586e-13,0,3.62848608885858e-12,1.04073163338974e-07,4.81386283471615e-06,2.588353579224e-09,0.00211350066563815,0.0115848785896881,0,0,0,0,0.000229744354670001,8.71246077868417e-11,3.11034460848368e-10,0,0,0,0,0,0,0,0.135836829030149,0,4.12592859110899e-10,0.00353958426863818,4.47956682752721e-05,0.110376941512056,0.00118028912503794,0.000175664400917602,0,3.33934414320233e-10,0.00129232064624624,0,0,0,0,0,2.54372814111859e-09,0,3.65965758042545e-05,4.8050743859866e-05,0,0.00902854867652152,6.79841605200057e-07,0,0,0,0,4.37375256147913e-06,0.000104652791218986,0,7.69391818926098e-08,8.13318120014493e-10,1.09052549177114e-06,1.37784266746402e-08,6.96295784861823e-05,2.7384966501802e-05,3.10396018675277e-07,4.31676437439627e-06,3.63032616232558e-07,0,6.01295716320565e-07,1.92435416569765e-07,0,6.55047121329259e-06,0.00128759197530254,3.76326829264403e-07,2.88576629836582e-12,3.18003386979563e-09
"BAC",0,0.736478936022287,0,8.39212883776997e-10,0,6.41263035129878e-06,2.33798429545633e-13,0,3.89132638950532e-12,1.06199507542408e-07,3.94702235726039e-06,1.99101101165263e-09,0.00176216023008923,0.0116689761228887,0,0,0,0,0.000246509601042499,6.70179124219666e-11,2.39253648158147e-10,0,0,0,0,0,0,0,0.114703391790211,0,4.21609707928418e-10,0.00296467012494357,4.59658146483268e-05,0.119012537642586,0.0012620263551016,0.000148333940739793,0,2.53861088627815e-10,0.00109091796909151,0,0,0,0,0,2.58359143855858e-09,0,3.68687129564249e-05,3.167604074601e-05,0,0.00905501026489487,7.2943349383006e-07,0,0,0,0,4.35068786336401e-06,1.98860313733812e-05,0,7.76832278945734e-08,8.72815901400887e-10,9.78730703913557e-07,4.07633644911602e-09,7.07222240175891e-05,1.6067593779502e-05,2.38993649865053e-07,3.32885235199384e-06,2.88168065970352e-07,0,6.10396816796179e-07,2.06472856576379e-07,0,1.3318545941159e-06,0.00136231945557495,4.03778456323724e-07,2.29022667816954e-12,1.80760599609598e-09
"C",0,0,0.68100483986162,1.65049660333864e-09,0,9.57275823817298e-06,4.04528659482573e-13,0,6.23543175669802e-12,1.72423518394358e-07,2.78588318068062e-06,3.32393733031067e-09,0.00133004128570001,0.0170680137746228,0,0,0,0,0.000394648663669824,1.11884534839394e-10,3.99427289890162e-10,0,0,0,0,0,0,0,0.0848253465453429,0,6.98109360102366e-10,0.00222327453260568,6.41129382258755e-05,0.189074865261725,0.00196570508297127,0.000109714255886876,0,4.02794503819404e-09,0.00449065307488049,0,0,0,0,0,4.29217752173946e-09,0,5.39234231225691e-05,3.60174006111681e-05,0,0.0150025909504276,1.16814155326265e-06,0,0,0,0,7.55271936818584e-06,0.000179016866516856,0,1.14535183943586e-07,1.39790291023797e-09,1.61926735976678e-06,9.71387958377797e-09,0.000115067239474419,2.23944688059015e-05,3.6700069219896e-06,5.52320831365834e-06,1.2160233681144e-06,0,1.00571415955056e-06,3.30653206122036e-07,0,1.11855767364448e-05,0.0019931611872609,6.46625630895251e-07,9.67160451513432e-12,2.40177187244234e-08
"WFC",0,0,0,0.714026557909167,0,9.5596148515933e-06,9.57441423213821e-12,0,6.62124482132029e-12,1.74988304192488e-07,1.40269254488083e-06,7.31816805766876e-08,0.000725940788094992,0.0166313694687424,0,0,0,0,0.00041981349712206,2.46331307615915e-09,8.79401668491197e-09,0,0,0,0,0,0,0,0.0420952678262589,0,0.000457602291091446,0.00108794590300855,6.07163679372263e-05,0.203171679164499,0.00206716852330026,0.00011723682413044,0,1.78070197897625e-09,0.0013847022609133,0,0,0,0,0,4.32111269591673e-09,0,0.000446230982984382,1.23445791671591e-05,0,0.0150067799699776,1.24243896478674e-06,0,0,0,0,6.79196374490619e-06,2.41249114508217e-05,0,1.06510962595812e-07,1.48709773333151e-09,2.24947363167735e-06,1.00538798700651e-08,0.000117236997481602,4.84152673985477e-06,1.62162024888338e-06,0.000120924947354145,3.91992626394795e-07,0,1.01616898190544e-06,3.51683771517466e-07,0,1.62873573218439e-06,0.00199418184084697,6.87753018639027e-07,3.11594462524057e-12,5.68123321709081e-09
"GS",0,0,0,8.09981107982991e-10,0.746434683589221,6.06159172268804e-06,2.29745936365549e-13,0,3.50736959934172e-12,1.03803971641926e-07,4.12267893226038e-06,1.94993046410629e-09,0.00182298034490409,0.0111047366444851,0,0,0,0,0.000222144864526401,6.56351312511976e-11,2.34317125551656e-10,0,0,0,0,0,0,0,0.117486248980001,0,4.10972694475313e-10,0.00303662786293914,4.23467752059539e-05,0.107025199500103,0.00113920899812111,0.000151933289397488,0,2.48046881886336e-10,0.00112329970760865,0,0,0,0,0,2.36162251593034e-09,0,3.50830029646601e-05,3.24256927718896e-05,0,0.0089625315036591,6.57331516594057e-07,0,0,0,0,4.30884532742072e-06,2.14838135633343e-05,0,7.54352956748537e-08,7.8644803743427e-10,9.26376313128981e-07,4.21923239393107e-09,6.91330417877201e-05,1.64352096962826e-05,2.32532336326689e-07,3.26015171289347e-06,3.04368041308349e-07,0,5.97382386602767e-07,1.86063729040222e-07,0,1.4290528128879e-06,0.00125085478401315,3.638663528729e-07,2.41918113354312e-12,1.82223724410448e-09
"MS",0,0,0,8.1501429807331e-05,0,0.718985323710249,1.08216549279395e-12,0,5.37839281024616e-12,1.5524948200782e-07,2.61341615502973e-06,8.43910329380019e-09,0.00123403785054346,0.0145360180195296,0,0,0,0,0.000340489326790423,2.84062258899503e-10,1.01410099613121e-09,0,0,0,0,0,0,0,0.0786096152026131,0,5.28567443223988e-08,0.00202502971864489,5.61064694211277e-05,0.164215165923949,0.00170665051936931,0.000101494894953655,0,8.95588191952897e-10,0.00214866512781019,0,0,0,0,0,3.51984773242112e-09,0,4.61704264992041e-05,2.56744578758591e-05,0,0.0133073033030723,1.00778969716349e-06,0,0,0,0,6.12285804414144e-06,0.000746358545357897,0,8.58597173238131e-08,1.2060848351008e-09,1.19639944111517e-06,8.57789534459779e-08,0.000102798821815508,1.67222406304961e-05,8.22140994906761e-07,1.39683757314164e-05,6.63480102229879e-07,0,8.92773058368476e-07,2.85264139036188e-07,0,4.60359247626527e-05,0.00164030840652998,5.57862740964884e-07,5.27612158172577e-12,4.20424989370175e-09
"BK",0,0,0,7.96602502084654e-10,0,6.73550767401227e-06,0.75986888784045,0,4.57153366173444e-12,1.18375950079569e-07,2.41549672554368e-06,1.38381915811042e-07,0.00113112596982929,0.0120314291295556,0,0,0,0,0.000290140452959615,4.65796877080579e-09,1.66289277171923e-08,0,0,0,0,0,0,0,0.0717010590941973,0,1.81640668051076e-08,0.00185324904060591,4.83155065865104e-05,0.1395691396022,0.00145321188292381,9.27234825089717e-05,0,8.187585117755e-08,0.000718438626049098,0,0,0,0,0,1.19633165446933e-09,0,3.80242638919756e-05,2.01364306017253e-05,0,0.00933120132520465,8.58438455381815e-07,0,0,0,0,5.06120420777341e-06,1.93447859571394e-05,0,7.22373778218629e-08,1.02743818030352e-09,1.93595910469676e-06,1.81178217421535e-07,7.48970945436322e-05,1.13833590319342e-05,7.4364715031633e-05,0.000228633708821864,1.67336611053692e-07,0,6.49970783475593e-07,2.42988896968572e-07,0,1.28948864516444e-06,0.00142352065245445,4.75189249321399e-07,1.3289257007629e-12,3.06929693179102e-07
"USB",0,0,0,1.14414905460929e-09,0,7.04289958259616e-06,3.83378465650304e-11,0.744599420842219,4.771882916011e-12,1.15294781972322e-07,2.2726787358918e-06,2.92200855075801e-07,0.00108420481793554,0.0125005340102232,0,0,0,0,0.000302048316727399,9.83555148639749e-09,3.51128748975561e-08,0,0,0,0,0,0,0,0.0783099455922879,0,4.65718928138238e-10,0.00202427988990889,5.06980519033147e-05,0.144830716875838,0.00151198764660134,0.000101280102418298,0,3.33326049340825e-10,0.00253061996687407,0,0,0,0,0,4.82710804551947e-09,0,3.94969776433474e-05,2.20111490328319e-05,0,0.0100516484867657,8.94025358806379e-07,0,0,0,0,4.85368871103554e-06,1.83701703886287e-05,0,7.98215725083032e-08,1.06992011242538e-09,6.85717918860081e-06,4.09959096150401e-09,7.77795521541647e-05,6.11767123798238e-06,3.12085848993962e-07,0.000482714540562753,7.42470405185865e-07,0,6.69532902265427e-07,2.53062097156017e-07,0,1.24547460610135e-06,0.00142994193081109,4.94888406340722e-07,5.90478722291689e-12,1.16815973206741e-09
"PNC",0,0,0,8.50988305399044e-10,0,6.9949505373774e-06,2.50344277239361e-13,0,0.728592773170486,1.14755809608024e-07,0.000136505590042391,2.14442275013653e-09,0.00165342003043982,0.0126940307237892,0,0,0,0,0.00027694412090179,7.21817886607432e-11,2.5768866327747e-10,0,0,0,0,0,0,0,0.106495756252126,0,4.61942415406512e-10,0.00275284208685257,4.95823596808688e-05,0.133409082595921,0.00140631168128216,0.000137709655209447,0,3.28548593843283e-10,0.00102045690519889,0,0,0,0,0,2.85920783914006e-09,0,4.0118158125539e-05,2.9553633018397e-05,0,0.00975710799795145,8.19426455884029e-07,0,0,0,0,4.75258126654902e-06,2.13060349043615e-05,0,8.48819863370559e-08,9.80597807831985e-10,1.03694101424865e-06,4.10739860799957e-09,7.64263021718297e-05,1.51188482611804e-05,3.08707738531548e-07,3.59157810332304e-06,1.48084283117165e-07,0,6.60952491707597e-07,2.31946191848507e-07,0,1.43059345450103e-06,0.00141431080006632,4.53594127807843e-07,1.17549890734834e-12,1.99570753031626e-09
"COF",0,0,0,6.82670462767407e-08,0,1.10423712415535e-05,3.76301806599933e-12,0,7.18776207731758e-12,0.604312703298398,4.58621380153515e-06,2.9016732844807e-08,0.0021152579079122,0.0198501443496146,0,0,0,0,0.000456277670765293,9.76710248805074e-10,3.48685122790352e-09,0,0,0,0,0,0,0,0.125617098729492,0,7.54547168538028e-10,0.00344235763884664,7.7303474578344e-05,0.217631179941573,0.00228373636778106,0.000172265630924491,0,5.53830746973686e-09,0.0012367851704622,0,0,0,0,0,1.92712916440885e-08,0,6.27846850415914e-05,0.000136159469563743,0,0.015449721547631,1.34991616236815e-06,0,0,0,0,7.78513458373812e-06,0.00413402780757271,0,1.38948948980163e-07,1.61566304541095e-09,4.21233980785606e-06,4.8163230698907e-07,0.000118032235176645,0.000152773220887766,5.04974786005492e-06,4.79935312794082e-05,0.00014894607961612,0,1.02397709667034e-06,3.82106180399375e-07,0,0.000254502714807416,0.00226298688930468,7.47247101782311e-07,1.18497396070785e-09,3.18806047353707e-08
