,JPM,BAC,C,WFC,GS,MS,BK,USB,PNC,COF,STT,AXP,FITB,RF,X8306.T,X8411.T,X8316.T,X8308.T,X8604.T,X8309.T,X8331.T,X8377.T,X8355.T,X8418.T,TD.TO,RY.TO,BNS.TO,BMO.TO,CM.TO,NA.TO,UCG.MI,ISP.MI,UNI.MI,MB.MI,NAB.AX,CBA.AX,ANZ.AX,WBC.AX,MQG.AX,X600036.SS,X600000.SS,X600016.SS,X600015.SS,HSBA.L,BARC.L,LLOY.L,STAN.L,SAN.MC,BBVA.MC,SAB.MC,SHB.A.ST,SEB.A.ST,SWED.A.ST,BNP.PA,ACA.PA,X055550.KS,X024110.KS,UBSG.SW,CSGN.SW,KBC.BR,ITUB4.SA,BBDC4.SA,DBK.DE,CBK.DE,BIRG.IR,SBIN.NS,BANKBARODA.NS,D05.SI,U11.SI,EBS.VI,DANSKE.CO,INGA.AS,DNB.OL,SBER.ME,ISCTR.IS,SBK.JO
JPM,0.927266818,0,3.32E-10,0,0,0,0,0,0,8.89E-09,0,1.12E-07,7.95E-11,1.67E-05,0,0,0,0,0.000116258,0,0,0,0,0,0,2.85E-19,0,0,0.01919574,0,3.52E-05,0.002116197,7.02E-14,0.048635753,1.78E-11,0,3.83E-08,8.94E-05,1.31E-06,0,0,0,0,0,0,0,0,0,1.09E-08,0.002520384,0,0,3.44E-10,0,0,0,0,0,0,9.81E-24,0,0,0,0,0,1.66E-08,2.59E-06,0,0,3.50E-06,0,1.59E-10,0,0,0,0
BAC,0,0.921142685,4.90E-10,0,0,0,0,0,0,1.60E-09,0,4.52E-11,2.61E-11,1.56E-05,0,0,0,0,0.000108336,0,0,0,0,0,0,9.35E-20,0,0,0.028284877,0,1.17E-05,0.00444105,1.26E-14,0.045420309,6.44E-12,0,3.57E-08,2.07E-09,4.73E-07,0,0,0,0,0,0,0,0,0,1.02E-08,0.000567778,0,0,3.43E-12,0,0,0,0,0,0,3.19E-24,0,0,0,0,0,5.47E-09,3.81E-06,0,0,3.26E-06,0,2.88E-11,0,0,0,0
C,0,0,0.924375468,0,0,0,0,0,0,4.04E-10,0,2.96E-11,1.01E-11,1.28E-05,0,0,0,0,8.86E-05,0,0,0,0,0,0,3.63E-20,0,0,0.015934068,0,4.01E-06,0.022361876,3.15E-15,0.037218134,1.21E-12,0,2.91E-08,4.16E-10,8.87E-08,0,0,0,0,0,0,0,0,0,8.36E-09,1.13E-07,0,0,5.09E-13,0,0,0,0,0,0,1.22E-24,0,0,0,0,0,2.12E-09,2.15E-06,0,0,2.67E-06,0,7.24E-12,0,0,0,0
WFC,0,0,2.21E-10,0.911899944,0,0,0,0,0,4.51E-08,0,1.67E-10,3.03E-10,2.17E-05,0,0,0,0,0.000151979,0,0,0,0,0,0,1.08E-18,0,0,0.012731698,0,0.000132883,6.55E-05,3.57E-13,0.063336091,6.37E-11,0,4.95E-08,1.94E-08,4.69E-06,0,0,0,0,0,0,0,0,0,1.42E-08,0.011648989,0,0,7.24E-11,0,0,0,0,0,0,3.76E-23,0,0,0,0,0,6.34E-08,1.72E-06,0,0,4.58E-06,0,8.09E-10,0,0,0,0
GS,0,0,1.14E-10,0,0.926440606,0,0,0,0,1.39E-08,0,9.23E-11,3.61E-10,1.92E-05,0,0,0,0,0.000134797,0,0,0,0,0,0,1.29E-18,0,0,0.006592697,0,0.000129893,4.51E-08,1.10E-13,0.056107128,2.55E-11,0,4.37E-08,7.88E-09,1.87E-06,0,0,0,0,0,0,0,0,0,1.26E-08,0.003857533,0,0,0.006711108,0,0,0,0,0,0,4.51E-23,0,0,0,0,0,7.55E-08,8.89E-07,0,0,4.06E-06,0,2.49E-10,0,0,0,0
MS,0,0,4.42E-10,0,0,0.900883274,0,0,0,6.44E-06,0,2.56E-10,3.43E-11,2.22E-05,0,0,0,0,0.00015362,0,0,0,0,0,0,1.23E-19,0,0,0.02555175,0,1.17E-05,0.007345406,5.12E-11,0.064529629,1.59E-12,2.75E-06,2.08E-07,6.56E-09,1.17E-07,0,0,0,0,0,0.00143789,0,0,0,1.45E-08,2.88E-07,0,0,4.66E-05,0,0,0,0,0,0,4.26E-24,0,0,0,0,0,7.17E-09,3.44E-06,0,0,4.63E-06,0,1.16E-07,0,0,0,0
BK,0,0,4.24E-10,0,0,0,0.904930348,0,0,1.43E-10,0,5.31E-11,7.93E-13,2.42E-05,0,0,0,0,0.000167526,0,0,0,0,0,0,2.78E-21,0,0,0.024479751,0,2.00E-07,5.68E-08,1.13E-15,0.070389201,1.73E-12,0,5.50E-08,6.23E-10,1.27E-07,0,0,0,0,0,0,0,0,0,1.58E-08,2.14E-07,0,0,1.37E-14,0,0,0,0,0,0,5.25E-26,0,0,0,0,0,1.69E-10,3.30E-06,0,0,5.05E-06,0,2.56E-12,0,0,0,0
USB,0,0,8.85E-11,0,0,0,0,0.933832982,0,1.21E-10,0,4.46E-11,5.56E-13,2.06E-05,0,0,0,0,0.000143325,0,0,0,0,0,0,1.92E-21,0,0,0.005109659,0,3.17E-07,0.000668869,9.51E-16,0.060218867,1.48E-12,0,4.69E-08,5.35E-10,1.09E-07,0,0,0,0,0,0,0,0,0,1.35E-08,1.85E-07,0,0,9.87E-15,0,0,0,0,0,0,2.03E-26,0,0,0,0,0,1.19E-10,6.89E-07,0,0,4.32E-06,0,2.16E-12,0,0,0,0
PNC,0,0,3.30E-10,0,0,0,0,0,0.920082026,7.67E-06,0,3.55E-09,9.67E-10,1.95E-05,0,0,0,0,0.000135585,0,0,0,0,0,0,3.46E-18,0,0,0.01293105,0,1.06E-05,0.009061071,6.09E-11,0.056879607,7.03E-09,0,8.37E-08,2.07E-06,0.000516855,0,0,0,0,0,0,0,0,0,1.28E-08,0.000346851,0,0,1.12E-08,0,0,0,0,0,0,1.21E-22,0,0,0,0,0,2.02E-07,2.57E-06,0,0,4.09E-06,0,1.38E-07,0,0,0,0
COF,0,0,9.95E-11,0,0,0,0,0,0,0.915368245,0,1.75E-06,7.97E-10,2.02E-05,0,0,0,0,0.000140359,0,0,0,0,0,0,2.85E-18,0,0,0.005744961,0,0.000262679,0.00050783,7.27E-06,0.058903621,1.48E-12,0,0.001225449,5.46E-05,1.08E-07,0,0,0,0,0,0,0,0,0,1.32E-08,3.01E-06,0,0,0.001333496,0,0,0,0,0,0,9.93E-23,0,0,0,0,0,1.67E-07,7.74E-07,0,0,5.89E-06,0,0.016419633,0,0,0,0
STT,0,0,7.01E-07,0,0,0,0,0,0,6.27E-10,0.888946391,1.67E-10,1.07E-12,7.66E-05,0,0,0,0,0.00015306,0,0,0,0,0,0,3.71E-21,0,0,0.040558386,0,3.84E-07,0.00049572,4.96E-15,0.064309837,5.48E-12,0,1.74E-07,1.97E-09,4.03E-07,0,0,0,0,0,0,0,0,0,5.00E-08,6.77E-07,0,0,2.68E-12,0,0,0,0,0,0,8.85E-26,0,0,0,0,0,2.27E-10,0.005453052,0,0,4.61E-06,0,1.12E-11,0,0,0,0
AXP,0,0,2.04E-11,0,0,0,0,0,0,1.54E-10,0,0.935569508,8.21E-12,1.71E-05,0,0,0,0,0.000119093,0,0,0,0,0,0,2.93E-20,0,0,0.001180884,0,1.34E-06,0.006895698,1.20E-15,0.050034389,1.27E-12,0,0.001663359,0.001769112,9.37E-08,0,0,0,0,0,0,0,0,0,1.12E-08,5.33E-06,0,0,0.002740303,0,0,0,0,0,0,9.81E-25,0,0,0,0,0,1.72E-09,1.59E-07,0,0,3.59E-06,0,2.76E-12,0,0,0,0
FITB,0,0,1.30E-10,0,0,0,0,0,0,9.72E-05,0,4.61E-08,0.897972791,2.69E-05,0,0,0,0,0.000187558,0,0,0,0,0,0,3.21E-09,0,0,6.10E-07,0,2.17E-05,0.015681361,7.72E-10,0.078635991,8.90E-08,0,5.49E-07,2.62E-05,0.006542411,0,0,0,0,0,0,0,0,0,2.97E-08,0.000795484,0,0,1.42E-07,0,0,0,0,0,0,1.13E-13,0,0,0,0,0,2.51E-06,1.01E-06,0,0,5.66E-06,0,1.74E-06,0,0,0,0
RF,0,0,9.81E-11,0,0,0,0,0,0,7.32E-05,0,1.99E-06,1.59E-08,0.936335581,0,0,0,0,0.000111356,0,0,0,0,0,0,5.67E-17,0,0,5.29E-07,0,0.002076707,0.00219812,5.81E-10,0.043216342,6.70E-08,0,0.002126624,2.42E-05,0.004927964,0,0,0,0,0,0,0,0,0,0.000612105,0.008286291,0,0,1.62E-07,0,0,0,0,0,0,1.99E-21,0,0,0,0,0,3.32E-06,7.64E-07,0,0,3.36E-06,0,1.31E-06,0,0,0,0
X8306.T,0,0,4.37E-12,0,0,0,0,0,0,1.03E-05,0,1.60E-09,0.030103113,9.05E-07,0.954431714,0,0,0,6.59E-06,0,0,0,0,0,0,1.08E-10,0,0,6.48E-08,0,0.000375348,0.000525697,8.20E-11,0.002642219,2.98E-09,0,6.70E-09,8.41E-07,0.000219324,0,0,0,0,0,0,0,0,0,9.97E-10,2.67E-05,0,0,1.51E-08,0,0,0,0,0,0,3.78E-15,0,0,0,0,0,3.28E-07,3.40E-08,0,0,0.011656617,0,1.85E-07,0,0,0,0
X8411.T,0,0,8.74E-13,0.003224432,0,0,0,0,0,2.15E-09,0,1.54E-12,1.85E-05,2.18E-07,0,0.97482496,0,0,1.52E-06,0,0,0,0,0,0,6.61E-14,0,0,4.50E-05,0,5.16E-07,1.10E-06,1.71E-14,0.000635681,2.12E-12,0,5.06E-10,6.30E-10,1.56E-07,0,0,0,0,0,0,0,0,0,1.43E-10,4.41E-05,0,0,3.17E-12,0,0,0,0,0,0,2.32E-18,0,0,0,0.021203759,0,2.91E-10,6.80E-09,0,0,4.58E-08,0,3.86E-11,0,0,0,0
X8316.T,0,0,3.21E-12,0,0,0,0,0,0,1.12E-05,0,1.52E-09,0.022111992,6.99E-07,0,0,0.958655207,0,5.22E-06,0,0,0,0,0,0,7.91E-11,0,0,7.02E-08,0,0.000722915,0.000386148,1.07E-06,0.002042401,2.19E-09,0,5.09E-09,6.10E-07,0.000161103,0,0,0,0,0,0,0,0,0,7.55E-10,1.96E-05,0,0,1.63E-08,0,0,0,0,0,0,2.78E-15,0,0,0,0,0,5.32E-07,2.50E-08,0,0,0.013473762,0,0.002407444,0,0,0,0
