"Date","JPM","BAC","C","WFC","GS","MS","BK","USB","PNC","COF","STT","AXP","FITB","RF","8306.T","8411.T","8316.T","8308.T","8604.T","8309.T","8354.T","8331.T","8377.T","8355.T","8418.T","TD.TO","RY.TO","BNS.TO","BMO.TO","CM.TO","NA.TO","UCG.MI","ISP.MI","BMPS.MI","UNI.MI","MB.MI","NAB.AX","CBA.AX","ANZ.AX","WBC.AX","MQG.AX","600036.SS","600000.SS","600016.SS","000001.SZ","600015.SS","HSBA.L","BARC.L","LLOY.L","STAN.L","SAN.MC","BBVA.MC","SAB.MC","NDA-SE.ST","SHB-A.ST","SEB-A.ST","SWED-A.ST","BNP.PA","ACA.PA","GLE.PA","316140.KS","055550.KS","024110.KS","UBSG.SW","CSGN.SW","KBC.BR","ITUB4.SA","BBDC4.SA","DBK.DE","CBK.DE","BIRG.IR","SBIN.NS","BANKBARODA.NS","1155.KL","1023.KL","BCP.LS","D05.SI","U11.SI","EBS.VI","DANSKE.CO","ETE.AT","INGA.AS","DNB.OL","SBER.ME","ISCTR.IS","SBK.JO"
2010-01-04,32.092087,13.731325,30.160183,20.225887,147.118881,25.570005,22.653957,17.47171,41.086712,33.005566,35.712467,34.509041,7.567061,4.31175,316.022797,1546.777344,1688.869019,640.352417,531.016663,2592.512695,NA,444.462952,1672.603882,649.536865,726.060303,21.732552,36.403172,30.022093,33.683796,39.010193,18.605541,64.534218,1.538077,NA,12.1382,6.176353,12.889571,30.009537,12.46542,13.380556,27.935072,11.171289,5.441317,2.944626,NA,4.268791,416.24115,194.313126,39.444038,1086.354126,4.967609,7.08844,1.573662,NA,27.208334,27.43181,38.613003,33.495148,8.432369,NA,NA,36597.417969,10934.34375,10.892593,32.855022,23.554897,12.261915,10.746609,32.055691,43.066399,24.615709,95.066895,51.206989,4.743765,5.037706,4.018833,10.017633,13.692189,NA,78.602135,25258.900391,5.234131,41.739815,NA,NA,6110.417969
2010-01-05,32.713711,14.177655,31.313356,20.781136,149.719818,26.504782,22.894192,17.914608,41.501339,34.307213,35.784775,34.43314,7.76895,4.454944,316.723419,1565.873535,1713.410889,638.97821,537.20929,2575.894531,NA,440.529572,1655.271362,653.561157,735.208679,21.523972,35.843815,29.586466,33.370914,38.326817,18.59623,63.589111,1.527138,NA,12.125628,6.360612,13.054241,30.463472,12.525326,13.491632,28.476322,11.183971,5.482404,2.996613,NA,4.376554,422.256897,206.467957,40.779968,1101.834595,5.022533,7.137649,1.597509,NA,NA,27.317486,39.042931,33.430782,8.560596,NA,NA,37436.804688,10934.34375,10.985016,33.161823,24.53758,12.341385,10.698376,32.572971,44.527348,24.74485,95.10218,52.686508,4.771425,5.084714,4.073881,10.148582,13.664332,NA,81.200203,26949.400391,5.335646,41.18848,NA,NA,6257.911133
2010-01-06,32.893463,14.343938,32.289139,20.810753,148.12178,26.843952,22.549856,18.105515,41.501339,34.493149,35.190369,34.989738,7.813816,4.51063,328.635559,1661.353271,1808.349365,665.086914,548.046387,2658.987793,NA,439.742981,1715.935791,665.63446,747.683899,21.312069,35.580208,29.156973,32.847427,38.150265,18.627277,63.049084,1.546582,NA,12.232136,6.364297,12.80021,30.61661,12.340166,13.428161,28.639307,10.950527,5.374555,2.937202,NA,4.216646,424.205078,212.63269,41.202641,1090.060669,5.058435,7.16501,1.629301,NA,NA,NA,NA,33.483448,8.711834,NA,NA,37730.597656,10972.708984,10.912399,32.578918,25.711643,12.234464,10.612791,32.232315,46.01685,27.295259,95.672699,53.009216,4.771425,5.186565,4.078467,10.148582,13.85934,NA,82.174561,NA,5.344286,41.220909,NA,NA,6248.880371
2010-01-07,33.545033,14.816527,32.377846,21.565891,151.020355,27.232754,23.502777,18.456785,43.751095,36.200466,35.824924,35.557224,8.284887,4.908393,333.540619,1689.997437,1885.85022,682.263794,569.720581,2758.699707,NA,435.02301,1741.93457,656.780762,756.000916,21.126659,35.612362,28.782681,32.540558,38.070534,18.288885,64.534218,1.524711,NA,12.219636,6.508019,12.696706,30.321268,12.046096,13.24834,28.220257,10.66669,5.253865,2.859222,NA,4.129739,421.970551,218.520065,42.968796,1079.960571,5.035183,7.132186,1.627712,NA,26.763594,27.73868,39.123547,34.068615,8.715111,NA,NA,36597.417969,10857.610352,10.945405,33.867374,25.785254,12.109151,10.584229,32.37743,47.912502,27.601906,95.137444,53.326965,4.757594,5.147392,4.115169,10.030727,13.85934,NA,84.773346,27382.5,5.47172,41.318207,NA,NA,6200.720215
2010-01-08,33.462643,14.685253,31.845606,21.365999,148.164291,26.678505,23.646927,18.487324,43.86628,35.887772,36.555878,35.531826,8.292363,4.916348,334.942169,1718.641602,1872.933594,696.00531,580.557617,2816.865479,NA,449.969543,1750.60083,653.561157,775.961304,21.10018,35.548061,29.120153,32.335983,38.23,18.20816,65.141739,1.545366,NA,12.169489,6.485907,12.654377,30.715092,12.116889,13.301219,28.458868,10.66669,5.312925,2.888924,NA,4.157552,423.975769,222.017105,42.946148,1093.084839,5.052066,7.186853,1.640423,NA,26.789768,28.731499,38.881706,34.876148,8.856447,NA,NA,37310.894531,10972.708984,11.361303,34.388893,25.980314,11.925772,10.572812,33.55695,48.532524,27.311378,94.853218,53.540455,4.785255,5.241408,4.211517,10.070014,13.873263,NA,86.072029,28108.900391,5.594112,43.069534,NA,NA,6200.117676
2010-01-11,33.350319,14.816527,32.200439,21.321575,145.826843,26.504782,23.238518,18.571323,43.989124,35.24538,35.632145,35.125252,8.374615,5.027724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.249165,35.483765,28.837904,32.179535,37.911072,18.313721,65.280716,1.538077,NA,12.031622,6.452741,12.819001,30.939342,12.193129,13.317086,28.458868,10.685614,5.312925,2.922348,NA,4.192315,418.24646,219.558517,42.364979,1070.197998,5.060528,7.137649,1.64877,NA,26.528137,29.068459,38.693604,34.384605,8.800595,NA,NA,38360.136719,11279.637695,11.249078,33.683281,26.153296,11.821802,10.58138,33.153271,49.102661,26.407478,94.071098,54.25042,4.76451,5.288416,4.239036,10.043824,13.845405,NA,87.956184,27689.800781,5.455161,44.010048,NA,NA,6170.620117
2010-01-12,32.571415,14.317687,31.224667,20.788542,142.647797,25.751991,23.278563,18.56369,43.536102,35.380619,35.503624,35.591103,8.217588,4.972037,341.94928,1689.997437,1856.786987,696.00531,602.231689,2808.555908,NA,448.396301,1767.933716,651.951538,777.624512,21.222675,35.605927,28.506578,32.251732,37.597855,18.21748,64.786163,1.530788,NA,11.893754,6.342186,12.677917,30.939342,12.122334,13.317086,28.162018,10.767609,5.341173,2.937202,NA,4.313979,417.329742,219.281845,42.244217,1043.28125,4.965471,7.134918,1.655132,NA,26.48889,28.815739,38.371166,34.214916,8.494844,NA,NA,38024.382813,11279.637695,11.051032,33.407234,25.487137,11.71179,10.612791,32.295414,47.000336,24.292942,91.415611,53.669537,4.76451,5.296251,4.156458,9.939065,13.706117,NA,87.371422,25957.5,5.362286,43.45871,NA,NA,6212.759766
2010-01-13,33.140614,14.54523,31.047249,21.15871,143.710312,25.859543,23.454735,18.869143,43.87455,35.600376,35.832958,35.70121,8.613891,5.059545,335.642731,1680.449463,1811.578613,687.760315,583.65387,2775.318115,NA,451.542877,1741.93457,651.146606,782.614929,21.31538,35.811661,28.580212,32.203583,37.603539,18.360287,64.291595,1.545366,NA,11.774673,6.35324,12.616744,30.633064,12.144118,13.274806,28.301739,10.18725,5.092086,2.807235,NA,4.028931,411.199219,217.273132,42.266857,1040.587402,4.927473,7.07752,1.657117,NA,26.606627,28.701418,38.317425,33.969135,8.389628,NA,NA,37604.6875,11087.808594,10.892593,33.192451,25.910385,11.748503,10.669802,31.752956,46.708115,24.260612,90.282852,53.416332,4.75068,5.257077,4.151872,9.834306,13.538973,NA,86.851944,24756,5.407642,44.269512,NA,NA,6175.43457
2010-01-14,33.470146,14.720262,31.135952,21.462246,143.251343,25.809898,23.422703,19.342585,44.489906,35.220028,35.17429,36.150143,8.800824,5.210694,342.649963,1775.929688,1871.641113,698.753662,595.265076,2800.246582,NA,455.476166,1750.60083,656.780762,791.763245,21.302137,35.843815,28.51885,32.251732,37.711754,18.347864,64.856812,1.556299,NA,11.812321,6.364297,12.724946,31.059656,12.198575,13.422891,29.349268,10.300852,5.128036,2.810951,NA,4.032407,409.423126,220.701172,43.399006,1054.049438,4.954915,7.08844,1.656721,NA,26.318857,28.881931,38.908577,34.326088,8.481667,NA,NA,36933.175781,10895.978516,10.919002,33.284542,25.86622,11.586473,10.441624,31.765547,47.962391,24.131474,89.513191,54.036926,4.76451,5.257077,4.197747,9.899778,13.608617,NA,88.995834,24239.099609,5.45012,45.69651,NA,NA,6212.759766
2010-01-15,32.713711,14.230168,30.337587,20.788542,140.429276,25.131563,23.246534,18.800415,43.597645,34.763615,34.274662,35.904507,8.494251,5.186828,354.562134,1842.765503,1969.808716,761.277283,599.909546,2933.195801,NA,458.622803,1785.266357,675.292969,801.743469,20.974363,35.239445,28.267279,32.221649,37.30172,18.354074,63.443798,1.514994,NA,11.668166,6.250056,12.84254,31.776096,12.214911,13.48636,29.454081,10.288237,5.146015,2.810951,NA,4.028931,402.490509,215.541153,42.855576,1044.286865,4.857762,7.00101,1.620156,NA,26.096468,28.587091,38.183071,33.067974,8.491568,NA,NA,36093.789063,11011.074219,10.628532,31.904062,24.912985,11.390879,10.293235,30.59236,46.765114,24.535017,88.932289,53.525551,4.778341,5.264912,4.050948,9.912875,13.525043,NA,88.020767,23344.900391,5.313327,45.080303,NA,NA,6275.970703
