Date,Mkt-RF,SMB,HML,RMW,CMA,RF,
27/09/2010,-0.46,0.19,-0.48,0.16,-0.08,0.001,
28/09/2010,0.58,0.52,0.1,-0.24,0.23,0.001,
29/09/2010,-0.17,0.65,-0.25,-0.08,0.05,0.001,
30/09/2010,-0.26,0.1,0.28,-0.11,-0.01,0.001,
01/10/2010,0.43,0.03,0.21,0.1,0.28,0.001,
04/10/2010,-0.88,-0.73,-0.05,0.03,0.03,0.001,
05/10/2010,2.11,0.77,0.16,-0.2,0.12,0.001,
06/10/2010,-0.1,-0.38,0.44,0.26,0.19,0.001,
07/10/2010,-0.16,0.05,-0.27,-0.03,0.02,0.001,
08/10/2010,0.74,0.86,-0.18,-0.3,0.4,0.001,
11/10/2010,0.04,0.04,-0.22,0.36,0.01,0.001,
12/10/2010,0.39,-0.01,0.21,-0.21,0.03,0.001,
13/10/2010,0.78,0.84,-0.33,-0.04,-0.06,0.001,
14/10/2010,-0.38,0.29,-0.41,0.23,-0.18,0.001,
15/10/2010,0.18,-0.17,-1.26,0.54,-0.64,0.001,
18/10/2010,0.69,0.12,0.89,-0.24,0.18,0.001,
19/10/2010,-1.67,-0.72,0.27,0.24,-0.16,0.001,
20/10/2010,1.06,0.1,0.08,0.22,0.3,0.001,
21/10/2010,0.11,-0.56,-0.49,0.44,-0.2,0.001,
22/10/2010,0.29,0.43,-0.41,-0.25,-0.25,0.001,
25/10/2010,0.31,0.43,-0.53,-0.05,-0.04,0.001,
26/10/2010,0.02,-0.01,-0.16,0.3,-0.14,0.001,
27/10/2010,-0.24,-0.26,-0.29,-0.41,-0.11,0.001,
28/10/2010,0.08,-0.6,-0.08,0.09,-0.19,0.001,
29/10/2010,0.07,0.3,-0.15,0.13,0.16,0.001,
01/11/2010,-0.01,-0.66,-0.21,0.31,0.01,0.001,
02/11/2010,0.9,1.26,-0.22,0.07,0.09,0.001,
03/11/2010,0.38,-0.05,0.2,-0.19,0.14,0.001,
04/11/2010,1.94,0.5,1.04,-0.76,0.87,0.001,
