Date,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
27/09/2010,13.63,26.07,39.299999,148.410004,39.669998,25.18,36.509998,24.59,22.540001,25.92
28/09/2010,13.32,25.959999,39,146.690002,39.400002,24.99,36.02,24.190001,21.9,25.870001
29/09/2010,13.29,26.02,39.900002,145.020004,38.880001,24.610001,36.119999,24.51,21.91,25.370001
30/09/2010,13.39,26.5,40.099998,146.979996,38.950001,25.200001,36.459999,24.879999,21.99,25.629999
01/10/2010,13.42,26.68,41,148.5,39.09,25.200001,36.205002,24.57,22,25.690001
04/10/2010,13.45,26.469999,41.200001,148.470001,39.540001,25.219999,36.145,24.48,21.870001,25.790001
05/10/2010,13.64,26.700001,41.5,150.279999,39.82,25.84,37.084999,24.610001,22.440001,26.35
06/10/2010,13.66,26.889999,41.599998,152.330002,40.07,25.85,37.279999,24.43,22.52,26.49
07/10/2010,13.5,26.959999,41.900002,152.360001,40.32,25.68,37.255001,24.49,22.52,26.58
08/10/2010,13.49,26.6,42,153.399994,39.779999,25.42,37.02,24.190001,22.469999,26.25
11/10/2010,13.25,26.68,42.099998,153.089996,39.91,25.35,37.075001,23.709999,22.48,26.1
12/10/2010,13.53,26.719999,42.400002,155.449997,40.490002,26.059999,37.215,23.84,22.93,26.040001
13/10/2010,13.64,27.110001,43,156.690002,40.720001,26.23,37.735001,23.91,23.23,26.34
14/10/2010,13.03,26.629999,41.700001,154.289993,39.380001,25.9,37.52,23.33,22.77,25.49
15/10/2010,12.68,26.42,41.099998,152.690002,38.939999,25.610001,37.494999,23.02,22.93,25
18/10/2010,12.37,26.73,42,154.380005,38.259998,25.6,36.884998,23.139999,23.16,24.879999
19/10/2010,12.45,26.629999,41.900002,159.699997,38.650002,26.059999,36.575001,23.35,23.120001,25.32
20/10/2010,11.88,26.15,41.200001,160.25,38.299999,25.75,37.174999,23.16,23.1,25.969999
21/10/2010,11.88,25.76,41.700001,161.5,38.400002,25.200001,37.375,23.110001,23.59,26.41
22/10/2010,11.58,25.629999,41.400002,159.979996,37.790001,24.889999,36.865002,22.780001,23.690001,26.25
25/10/2010,11.59,25.57,42.299999,159.449997,38.07,24.790001,36.985001,22.76,23.780001,26.42
26/10/2010,11.48,25.09,42.099998,158.729996,37.259998,24.59,36.419998,22.57,23.98,25.99
27/10/2010,11.67,25.360001,41.900002,160.589996,37.630001,24.440001,35.959999,23.030001,24.41,26
28/10/2010,11.72,25.379999,42,163.789993,37.959999,24.98,35.955002,23.290001,24.540001,25.959999
29/10/2010,11.54,25.309999,41.799999,163.600006,37.740002,25.120001,36.16,23.540001,24.26,26.129999
01/11/2010,11.58,25.35,42,162.960007,38,25.040001,36.610001,23.49,24.27,26.1
02/11/2010,11.59,25.26,42,163,37.57,24.969999,36.674999,23.110001,24.219999,26.049999
03/11/2010,11.55,25.780001,41.900002,163.179993,37.830002,25.4,36.68,23.08,24.110001,26.5
04/11/2010,12.24,26.59,43.299999,166.399994,39.849998,26.5,37.235001,24.23,25.25,27.5
05/11/2010,12.71,28.24,45.099998,171.179993,41.34,27.360001,37.619999,25.629999,26.389999,29.360001
08/11/2010,12.73,28.110001,45.200001,171.610001,41.200001,27.290001,37.435001,25.870001,26.17,29.280001
09/11/2010,12.74,28.200001,44.700001,170.850006,40.68,27.209999,37.349998,25.52,25.780001,29.110001
10/11/2010,12.57,27.879999,44.599998,168.649994,40.639999,26.65,36.805,25.360001,25.549999,28.620001
11/11/2010,12.56,27.77,44.099998,168.889999,40.439999,26.73,36.595001,25.49,25.4,28.57
12/11/2010,12.33,27.799999,43.900002,168.119995,40.259998,26.24,36.375,25.27,25.129999,28.040001
15/11/2010,12.29,28.02,43.700001,169.350006,40.639999,26.49,36.619999,25.450001,25.379999,28.209999
16/11/2010,12.05,27.99,42.900002,167,39.970001,25.950001,36.029999,25.15,25.1,27.629999
17/11/2010,11.99,27.85,42.400002,165.729996,39.68,25.700001,35.775002,24.719999,25,27.43
18/11/2010,11.82,28.190001,43.299999,168.929993,40,26.16,36.580002,24.77,25.26,27.709999
19/11/2010,11.66,27.98,42.700001,167.75,39.639999,25.84,36.799999,24.549999,24.969999,27.549999
22/11/2010,11.59,27.610001,42.5,164.380005,39.099998,25.389999,36.900002,24.450001,24.790001,27.360001
23/11/2010,11.39,27.120001,41.5,160.899994,38.220001,24.99,36.404999,24.049999,24.52,26.950001
24/11/2010,11.3,27.459999,41.900002,160.699997,38.240002,25.17,37.02,23.85,24.309999,27.139999
26/11/2010,11.21,27.52,41.599998,159.350006,37.98,24.879999,36.93,23.77,24.26,27.15
29/11/2010,11.36,27.389999,41.700001,160,38.09,25,36.895,23.73,24.18,27.35
30/11/2010,11.3,27.24,42.400002,159.330002,37.790001,24.77,36.759998,23.59,24.25,27.43
01/12/2010,11.3,27.58,43.099998,159.199997,38.189999,25.110001,37.380001,23.77,24.23,27.799999
02/12/2010,11.74,27.98,44.5,163.25,39.380001,26.049999,36.775002,24.709999,24.99,28.780001
03/12/2010,11.88,28.09,44.599998,162.5,39.669998,25.73,36.465,24.799999,24.92,29.129999
06/12/2010,11.86,28.059999,45,163.190002,40.049999,25.799999,35.965,24.709999,24.84,29.1
07/12/2010,11.87,28.49,46.5,164.770004,40.459999,26.26,35.68,24.959999,25.08,29.25
08/12/2010,12.07,28.77,46.400002,166.139999,40.330002,26.66,36.244999,25.719999,25.17,29.370001
09/12/2010,12.69,29.610001,47.099998,167.75,41.099998,26.709999,36.404999,27.280001,25.969999,30.110001
10/12/2010,12.85,29.07,47.700001,168.470001,41.5,27.040001,36.52,27.57,26.469999,30.559999
13/12/2010,12.88,29.48,48.5,170.919998,41.990002,27.190001,36.860001,27.27,26.469999,30.57
14/12/2010,12.71,29.559999,48.099998,169.990005,41.5,27.049999,36.66,27.27,26.440001,30.34
15/12/2010,12.54,29.68,46.799999,167.289993,41,26.700001,36.560001,26.719999,26.190001,30.129999
16/12/2010,12.77,29.49,46.5,165.910004,40.68,26.379999,36.285,26.639999,26.209999,30.360001
17/12/2010,12.65,29.65,47,165,40.07,26.52,35.785,26.59,26.24,30.24
20/12/2010,12.75,29.73,47.400002,166.899994,40.27,26.4,35.560001,26.32,26.33,30.280001
21/12/2010,12.98,29.83,47.700001,168.880005,41.240002,26.959999,35.990002,26.440001,26.809999,30.889999
22/12/2010,13.45,30.530001,47.599998,169.679993,42.540001,27.43,36.365002,27,27.25,31.610001
23/12/2010,13.3,30.629999,47.200001,169.699997,42.27,27.49,36.674999,26.76,27.049999,31.360001
27/12/2010,13.4,30.370001,47.900002,170,42.68,27.540001,36.73,26.6,27.200001,31.34
28/12/2010,13.49,30.459999,48,171.229996,43.119999,27.77,36.845001,26.860001,27.299999,31.299999
29/12/2010,13.42,30.530001,48,169.779999,42.77,27.58,37,26.6,27.16,31.280001
30/12/2010,13.4,30.280001,47.799999,168.25,42.470001,27.450001,37.099998,26.559999,27.120001,31.120001
31/12/2010,13.38,30.35,47.599998,168.800003,42.450001,27.34,37.32,26.5,27.1,31.030001
03/01/2011,14.23,31.02,49,173.25,44.040001,28.57,37.685001,27.15,27.4,31.66
04/01/2011,14.25,30.940001,49.400002,174,44.299999,28.5,37.455002,27.09,27.040001,31.940001
05/01/2011,14.6,31.870001,50,174.490005,44.950001,28.83,37.279999,27.59,26.879999,32.5
06/01/2011,14.69,31.77,50.5,174.589996,44.799999,28.98,37.349998,27.700001,26.91,32.470001
07/01/2011,14.68,31.639999,50,172.889999,44.59,28.889999,37.450001,26.940001,26.450001,32.23
10/01/2011,14.43,31.200001,49.299999,171.289993,43.77,28.15,37.290001,26.58,26.379999,31.450001
