,Date,MS,JPM,BAC,C,WFC,GS,USB,TD,BK,TFC
2,27/09/2010,1.498929503,0.333226972,-0.226312691,-0.258053729,0.707551548,0.680438065,-0.091672884,0.153244162,-0.776395411,-0.041553332
3,28/09/2010,0.081661306,1.396079632,1.213052314,-1.025680707,1.23042326,0.407681753,0.735629391,0.181343816,0.271049925,-0.745039107
4,29/09/2010,-0.813666324,0.915392181,0.076286579,0.255437018,-0.318958302,-0.110748858,0.231035247,-0.903615486,-1.309728075,0.703486206
5,30/09/2010,-1.368238591,-1.951429185,-1.51520021,-4.500727667,-1.736447843,-2.134978729,-0.415444675,-0.904239955,-0.800464325,-1.197085195
6,01/10/2010,1.246748961,-0.488973761,1.134235922,1.477835265,0.706707665,0.767988597,0.415444675,0.318546206,0.494800064,1.238638096
7,04/10/2010,-3.029329059,-1.755972306,-3.070246123,-2.451127059,-3.370442326,-2.026163067,-3.276029447,-2.466205045,-0.949327926,-0.90983184
8,05/10/2010,0.353985828,-0.653770774,1.261648743,0.729071846,-0.190267721,-0.845452519,-0.312862463,-0.607143055,-1.314067119,-0.041159955
9,06/10/2010,1.228941198,0.956952922,0.59922163,-1.932402086,1.147198268,-0.178913691,0.223363492,1.436102013,1.314067119,0.950991796
10,07/10/2010,-0.992263579,0.532791512,0.98153315,-0.238959942,0.192501238,-1.020493813,0.223897795,-0.842504069,-0.301876405,2.056764761
11,08/10/2010,0.67368818,-1.062772567,0.2278426,0.238959942,1.162797499,0.301781073,0.269323574,0.148950695,-0.07536041,0.33981226
12,11/10/2010,-3.05430973,-1.672340314,-2.774811012,-1.425229299,-1.278329315,-1.958374592,-2.792131741,-0.634880632,-0.075280586,-1.352465881
13,12/10/2010,-0.038560312,1.395838737,1.715822583,-0.23560069,0.656510944,0.309759241,0.087419451,-0.443394112,-0.187907836,1.23270925
14,13/10/2010,1.946366696,2.851537878,5.331505877,4.573609515,4.314916123,2.050218338,1.276736982,0.201274469,1.971985571,2.161791976
15,14/10/2010,1.664731815,4.139245115,5.045815821,2.746775826,4.721358931,0.595474573,0.132988777,1.352474358,1.039487396,1.054489473
16,15/10/2010,-1.507360926,-2.787157894,-2.960760762,-5.42008711,-5.3263155,-1.977749296,-2.713517148,-0.299128237,-2.973915028,-2.141218323
17,18/10/2010,0.039380274,1.344056362,4.474676391,2.673311284,1.295067893,-1.945849477,1.52276434,1.105737382,2.395104814,0.912069309
18,19/10/2010,0.039386383,-1.081944037,0.424632317,-1.223994279,-4.188094224,-1.820997321,-0.087655659,-1.94391337,1.707467073,0
19,20/10/2010,3.121518945,1.055408801,3.375512877,0.97801311,-1.665743905,0.188135366,-2.29495214,1.137304224,0.195868157,1.317526628
20,21/10/2010,0.325724259,0,-0.701790541,-0.97801311,-0.306866365,0.971422509,-0.979775021,0.655761967,0.906034994,0
21,22/10/2010,0.572565802,1.685201656,2.477989444,-2.4039641,1.504994468,0.234817473,0.509978734,-0.342077325,1.354614408,1.335153496
22,25/10/2010,0.782388959,-0.350079339,-1.246680094,0.715178853,-0.736006618,-0.570197612,-1.982756736,1.071110442,-0.400307928,-0.803235307
23,26/10/2010,-1.071283194,-0.909822822,-2.101633618,0.239468242,0.619421453,-1.168194104,-1.657051494,1.110695354,-1.116452433,-0.177618638
24,27/10/2010,-1.867707733,0.079934953,0.086669752,0,-0.735177974,-1.911063753,0.659508205,0.574024313,0.198452603,-2.886119811
25,28/10/2010,-0.040194011,-0.319412788,0.696263613,0,-0.461541889,1.300985694,-0.082649135,-1.366658003,0.437974314,-0.901058926
26,29/10/2010,0.766892112,0.55962272,-0.435694348,0.480779107,0.500121109,-0.272661834,1.121973234,-0.207504426,0.039923993,2.903775402
27,01/11/2010,0.284014838,1.236961388,0.873325123,-0.480779107,-0.154145235,-0.770746627,0.54472365,-0.839590355,-0.119690078,-0.744795339
28,02/11/2010,-3.15959285,-2.035441249,-1.047110106,-0.478428184,-2.06192483,0.116780701,-1.044955536,-0.464960635,-2.675197177,-0.609251966
29,03/11/2010,-3.74779219,-5.367634024,-5.159703655,-3.286672768,-3.709618446,-2.285660592,-4.512030592,-1.368498511,-2.832216106,-4.868689223
30,04/11/2010,-3.392683461,-2.824086409,-1.878376021,-3.628536805,-6.212308483,-2.773843196,-3.668004901,-0.790839409,-6.111275452,-5.545780552
31,05/11/2010,0.256919952,1.055884274,-1.923136193,1.119839977,0.617906672,1.0991547,1.544443927,0.912047567,0.355619974,1.219299839
32,08/11/2010,3.325556641,1.517255123,2.653937052,3.203927104,3.183758326,1.578603239,1.925050631,1.506825831,1.146552404,1.675994053
33,09/11/2010,-0.870076729,-1.788459344,-2.41553087,-2.752490809,-1.587030792,-0.401514251,-1.182982117,-0.314085026,0.108154489,-2.031549394
34,10/11/2010,0.908055984,1.488176686,1.603868789,1.366751184,1.373994537,-0.292585006,1.302041029,0.286771618,0.180551696,0.355555341
35,11/11/2010,2.85296841,1.029712459,2.041717712,1.61855872,2.332738108,1.127316903,2.24907737,1.598917991,0.6526649,1.796774217
36,12/11/2010,-1.667712348,-1.179562035,0.16513721,-0.696865778,-0.398593375,-0.834731897,-1.2913764,-0.844000526,-0.869247298,-0.922371082
37,15/11/2010,1.433351173,1.179562035,1.331131216,2.342032307,1.677654745,1.275910571,0.886051776,2.116487385,0.144324362,2.424343541
38,16/11/2010,2.129385153,1.091525307,2.716648396,0.713456868,1.221113713,0.127281536,-0.040502543,-0.295104838,1.3452369,0.821359322
39,17/11/2010,-1.895023978,-1.217598501,-0.686102603,-2.591442492,-2.391143841,-1.480869912,-1.125846495,-1.807603154,-2.601294794,-0.657599881
40,18/11/2010,-0.195368545,0.632290164,0.34248232,0.700128879,0.072690451,0.407146833,0.561408021,-1.109984301,1.003578357,-0.286371745
41,19/11/2010,2.210045478,2.310167168,3.136106232,2.130273555,1.983930941,3.430098403,0.888505482,0.218269783,1.634319283,1.233035612
42,22/11/2010,1.609033852,2.311624238,1.875912619,1.932402086,0.558124198,2.051333634,2.339536546,1.735848087,1.587055609,2.470321954
43,23/11/2010,-1.967540388,-1.398584401,-1.69873119,-1.692933844,-1.150072336,-1.559576336,-0.373071568,-2.795470941,-2.098387136,-0.591753035
44,24/11/2010,1.805467429,1.744673825,1.428562044,1.449317005,1.711354103,1.28111053,0.830907797,0.882230181,1.13578267,1.657166199
45,26/11/2010,-0.886752881,-1.087413323,-1.694186543,-0.968537898,-2.042781993,-0.667721085,-0.540870787,-0.3945689,-0.18411033,-1.530630947
46,29/11/2010,1.863173831,1.35442488,3.234783387,-1.197626739,-0.036781053,1.771052718,1.336689289,1.160963165,0.73831634,2.132226609
47,30/11/2010,-1.863173831,-1.985483774,-3.149188394,-2.353023044,-1.169165012,-1.468573012,-1.792093098,-1.743209631,-1.39813159,-2.34298462
48,01/12/2010,-2.731250301,-2.995310949,-3.396043611,-2.752490809,-4.440426184,-2.523899627,-2.24635316,1.537341323,-1.702616361,-3.962563865
49,02/12/2010,-0.117038285,-0.760314633,-1.529310951,-0.676438797,-0.933764944,0.116982844,0,1.213823463,-0.573057411,0
50,03/12/2010,0.390748548,-0.729429801,1.872368325,0,1.072855539,-0.209257092,0.445254981,2.160286181,0.035713762,0.649628093
51,06/12/2010,-0.468708872,1.642488188,0.603211615,-3.749087263,0.943907957,0.65385488,1.142399174,-1.170087239,-0.534484723,-0.609129023
52,07/12/2010,-3.10786786,-2.540729041,-3.649128472,-0.431938034,-3.112320111,-2.776899231,-3.230003623,-1.543766596,-2.179351986,-3.461656038
53,08/12/2010,-0.902627797,-1.356876626,-5.275047588,-1.071835565,-2.355405104,-0.186397691,-2.627113631,-0.206808932,-0.762003235,-5.811387334
54,09/12/2010,-0.894526739,-1.507789402,-1.178786835,-1.691342589,-0.662930984,-1.206283778,-2.333186103,0.06891565,0.103532173,-0.184370069
55,10/12/2010,0.037139889,-0.192888579,2.05214227,-0.835084299,0.165336656,-0.597707849,1.026006064,-0.864485441,-1.304058964,0.999500354
56,13/12/2010,1.157359919,1.749735285,1.122728132,2.526426888,1.332448357,1.276708963,0.920960351,0.451890667,0.44422756,1.122292728
57,14/12/2010,1.627908401,1.432113261,0.891042169,2.155276751,0.100668253,1.275030328,0.541151882,0.813072576,0.137095619,1.592801918
58,15/12/2010,0.727838385,0.498618514,-1.854169632,0,-0.769120585,0.454992703,-1.156084795,0.471562458,-0.921691852,-0.913251995
59,16/12/2010,-0.880433036,0.853434674,-0.398529585,-2.368224747,0.200090123,0.255715495,-0.382374812,0.991972938,0.136023451,0.913251995
60,17/12/2010,-0.07617381,-0.70336531,-0.397001458,-0.212547502,-0.466205415,-1.217858587,0.22924159,2.430313893,-0.237888639,0.921643324
61,20/12/2010,-2.25909597,-2.59430431,-2.812664432,-0.634949985,-2.363887571,-1.304298533,-1.593926828,-3.450109183,-1.113951346,-0.998096927
62,21/12/2010,-1.990499647,-2.78998977,-3.035117992,0.211203139,-1.577347701,-0.811060721,-1.457717598,-0.89931961,-2.42091807,-1.177140453
63,22/12/2010,-0.036499101,0.189936773,2.420661013,1.062716154,1.027303588,1.186221099,-0.25941436,-0.79575913,1.418911578,0.567825937
64,23/12/2010,-0.364138949,-1.392364639,-1.59516056,-1.904816399,-0.707409588,-1.321758795,-0.369398237,-0.313793035,-0.794439277,-0.681031555
65,27/12/2010,-0.543803131,0.140722999,-0.52612948,-0.209431588,0.03202778,0.377577259,-0.220999793,-0.081682671,-0.197638635,0.302133058
66,28/12/2010,1.383359154,0.588416755,0.225130612,0.209431588,0.578609749,0.926306503,0.369277764,-0.597152839,0.362616223,0
67,29/12/2010,-0.183107225,0.307360196,0.22566417,0.209845393,0.646816171,-0.005939427,0.333526089,-0.337644274,0.330810406,0.151414621
68,30/12/2010,0.440027176,-0.448879154,-0.450794782,0.632254853,-0.550044113,-0.309736765,-0.111306869,-0.202065081,-0.066254544,0.417518803
69,31/12/2010,-3.680042762,-2.697813604,-6.177045373,-3.530991296,-1.885976878,-2.866489094,0.111306869,-1.070769626,-1.999717127,-2.182172399
70,03/01/2011,-0.846599389,-1.436938459,-0.3517574,0,-0.221392661,-0.017332219,0.67038902,0.5464364,0.585921482,0.111710232
71,04/01/2011,-1.256544119,-1.215437358,-1.809363213,-1.418444039,-2.249396071,-0.530120155,-0.223975383,-0.256072461,-3.40212683,-2.880557916
72,05/01/2011,0.104110368,0.493406151,0.414656301,0.403200282,0.681955817,1.03404818,1.995935219,0.350606661,0.792030211,2.134024573
73,06/01/2011,2.105349015,1.90658876,1.324533861,0.202213678,2.042515899,0.886578448,0.763641695,-0.99473808,2.18657247,2.104551148
74,07/01/2011,0.533311198,0.551479356,-1.047145877,0.609165056,0.956912087,0.546345493,-0.611367532,0.7518645,0.195247063,-0.416923553
75,10/01/2011,0.321394787,-0.459798057,-1.993850614,-0.609165056,-0.638988914,0.235910831,0.764834287,-0.631440169,0.032576281,-0.339823756
76,11/01/2011,-2.647071974,-2.51399566,-2.021655407,-2.794585168,-1.924042305,-1.354772839,-2.42714077,-0.747180341,-3.111682226,-1.198947326
77,12/01/2011,1.438367916,0.58318351,1.478500161,0.790481975,0.375606053,0.058246095,-0.224538369,0.412966841,0.063171233,-0.074470857
78,13/01/2011,-2.374405815,-1.029481246,-3.198116363,-1.769919337,-2.661043593,-1.979413036,-2.291309454,-2.491419582,-2.281002471,-3.33062434
79,14/01/2011,0.796824429,0.35684482,1.652930319,6.648957847,0.79705474,0.183022969,0.219455726,-0.286017244,1.087123294,1.04942832
80,18/01/2011,3.540186659,2.351427556,4.29072522,0.836831205,2.115139786,4.802035545,2.935349421,0.873620006,1.700826712,0.730194258
81,19/01/2011,-4.474940753,-2.351427556,-1.176047409,-0.836831205,-0.251150932,0.481647575,-0.676401916,0.367312714,-0.475350812,0.772491438
82,20/01/2011,-3.354550625,-1.199485168,2.014659971,-1.857626033,-1.92552081,-0.307320789,-0.969090287,0.184224613,-1.006619687,-4.72411826
83,21/01/2011,0.870161874,0.59791801,2.343032064,0.615351121,-0.582752568,-0.060138656,0.446124354,-0.617016678,0.975022964,2.136056479
84,24/01/2011,1.387726918,0.333766171,2.1053115,0.826491608,0,2.632068917,0.29848301,0.814713341,-0.094776625,-0.395062855
85,25/01/2011,1.131127445,-0.244829658,0.588693195,0.207684817,0.76749506,0.41444019,0.599699974,0.542437655,-0.126229265,1.95446949
86,26/01/2011,-3.026957585,-0.266433492,-0.881720427,-0.414936893,-0.1539833,-1.672073997,-1.344307338,-0.832298581,1.93E-05,-1.559406635
87,27/01/2011,2.75110206,1.249439723,0.513395823,2.303788102,2.051667502,1.387357059,0.595247374,2.114042123,2.368106134,1.925572074
88,28/01/2011,-1.232044946,-0.894034176,-0.951349458,-2.096536027,-1.805203346,-1.137098806,-0.743514303,-0.629571644,-1.127051042,-1.384337259
89,31/01/2011,-1.753235473,-2.179074322,-4.137536198,-1.646121935,-3.097760206,-1.039679011,-2.415012635,-2.427229663,-2.716533598,-3.064030364
90,01/02/2011,0.872735404,1.050604151,0.490346551,1.025638397,2.027014221,0.169496625,0.980895289,-0.468059905,0.782079923,0.668891397
91,02/02/2011,-0.504449195,-0.022025943,-1.325441826,0.828168355,-0.091634768,0.248709716,-0.29165531,-1.493567234,1.200677006,-0.246931495
92,03/02/2011,-0.134107851,1.932347817,0.974957038,-0.207684817,-0.030543908,-0.115371138,0.182213276,-1.345520043,1.472969582,-0.211209553
93,04/02/2011,-1.891533123,-2.020282457,-2.624466524,-1.646121935,-1.694962124,-1.385726381,-1.914468139,0.492988578,-2.673646588,-0.979695831
94,07/02/2011,-0.72060077,-0.526070186,0.409841314,0.204279205,-2.313958138,-0.846024469,-0.96137262,0.457174343,-1.124281369,-1.554687712
95,08/02/2011,1.844598213,1.386921713,-0.205149953,1.027764924,2.885799508,1.518449074,0.639902177,0.267660534,1.596546021,0.687958307
96,09/02/2011,1.170383991,-0.926776201,1.029898549,1.247415334,0.393191246,0.404379326,0.644009613,-0.483806543,-0.06311557,1.425381784
97,10/02/2011,-1.436001639,-2.258516904,-1.913963387,-2.070453235,-2.276904603,-0.795150386,-1.814045882,-1.161800601,-1.37803535,-1.941791419
98,11/02/2011,0.598628993,0.064474434,-0.809145985,-0.612871251,-0.325297434,-0.514722732,-1.086760871,-0.675661276,0.373966115,0.171802142
99,14/02/2011,-1.127706051,-0.599843829,0.809145985,0,0.562541286,-0.232505149,0.104653593,0.062315882,3.107403762,1.141694674
100,15/02/2011,-1.278085742,-2.363971513,-0.472800307,0.203865023,1.134686117,-0.534560373,-0.174352993,-1.927851061,-0.610061423,-0.104330728
101,16/02/2011,0.065140152,0.250619028,0.202344121,-0.81303008,1.056606556,0.982209415,1.191713747,-0.268910617,0.128121155,1.294411475
102,17/02/2011,-0.972762981,-0.375657999,0.405974426,0.609165056,0.945278271,-0.525059293,-0.702723409,0.698218904,-1.558278689,-0.035224215
103,18/02/2011,4.859643197,4.234183192,3.941057765,4.584098663,3.936757512,3.081986193,3.093598805,1.448694191,2.492123566,2.422643263
104,22/02/2011,-0.439399328,0.108752438,0.070575506,-0.212947995,-0.381641323,-0.092003836,0.615797063,0.914596025,1.696614308,0.144372958
105,23/02/2011,0.541064951,0.108791123,1.42145606,0.212947995,0.19064496,-0.21439263,0.07270291,-1.337794657,0.859210906,0
106,24/02/2011,-1.280342472,-1.66320772,-1.632985486,-0.212947995,-3.007742885,-1.02259983,-0.07270291,-2.610894854,-1.64584293,0.144552731
107,25/02/2011,0.638128163,-0.021445638,-0.631782083,0.426421806,0.433042901,0.602622581,-0.76016264,-1.274350667,0.786632024,0.181016688
108,28/02/2011,2.940401288,2.362234833,2.551493108,2.378519851,1.908993004,1.519607634,2.224331492,2.063881973,0.759734777,2.123821567
109,01/03/2011,-0.519118223,0.858944222,0.648653233,-0.654335607,0.316459939,-0.235280895,1.000547976,-0.81372983,0.431932596,-0.147960099
110,02/03/2011,-1.166797506,-1.906121981,-3.13190612,-1.724184243,-2.689386105,-1.716915576,-2.537353063,-4.088473351,-2.72638816,-0.036928724
111,03/03/2011,3.013224581,1.222749775,1.056710621,3.037101455,1.554789274,2.144569422,1.832220629,-0.08123722,2.62654444,2.619916388
