Date,BAC,BK,C,GS,JPM,MS,TD,TFC,USB,WFC
27/09/2010,13.23,25.639999,38.700001,145.779999,39.009998,24.799999,35.904999,24.040001,21.84,25.49
28/09/2010,13.15,25.469999,38.400002,144.059998,38.610001,24.35,35.395,23.709999,21.549999,25.110001
29/09/2010,13.05,25.67,38.700001,142.539993,38.060001,24.18,35.759998,23.860001,21.6,24.91
30/09/2010,13.05,25.959999,38.900002,144.300003,37.959999,24.559999,35.785,24.059999,21.51,25.02
01/10/2010,13.06,26.139999,39.400002,144.820007,38.290001,24.68,35.724998,24.07,21.610001,25.120001
04/10/2010,13.13,26.08,40.299999,144.699997,38.709999,24.549999,35.700001,23.75,21.58,25.219999
05/10/2010,13.21,26.23,40.700001,146.070007,39.07,24.76,36.125,24.139999,21.59,25.4
06/10/2010,13.32,26.35,40.799999,149.130005,39.419998,25.280001,36.830002,24.17,22.280001,26.129999
07/10/2010,13.23,26.360001,41.299999,150.029999,39.200001,25.01,36.505001,23.91,21.98,25.84
08/10/2010,13.1,26.27,41.400002,150.619995,39.130001,25,36.560001,23.57,22.1,25.719999
11/10/2010,13.11,26.360001,41.200001,151.270004,39.400002,25.049999,36.790001,23.459999,22.139999,25.459999
12/10/2010,13.09,26.33,41.299999,151.009995,39.470001,25.059999,36.84,23.33,22.16,25.299999
13/10/2010,13.25,26.26,41.799999,154.389999,39.580002,25.68,37.255001,23.34,22.549999,25.629999
14/10/2010,12.42,25.85,39.900002,150.550003,38.099998,25.030001,36.959999,22.57,22.16,24.200001
15/10/2010,11.74,25.799999,39.099998,150.660004,36.540001,24.870001,36.615002,22.24,22.059999,23.370001
18/10/2010,11.83,25.780001,39.700001,150.850006,37.009998,24.82,36.424999,22.559999,22.51,23.639999
19/10/2010,11.71,25.82,40.400002,154.110001,37.5,25.200001,35.880001,22.75,22.459999,24.389999
20/10/2010,11.17,25.52,40.299999,154.860001,37.459999,24.26,36.360001,22.629999,22.66,24.17
21/10/2010,11.32,25.129999,40.299999,158.100006,36.209999,24.5,36.505001,22.51,22.940001,23.870001
22/10/2010,11.37,25.190001,40.900002,157.5,37.32,24.32,36.384998,22.370001,23.07,25.75
25/10/2010,11.07,24.9,41.400002,156.270004,37,24.35,36.43,22.26,23.42,25.52
26/10/2010,11.03,24.65,41.5,156.529999,36.779999,24.1,36.119999,22.15,23.15,25.48
27/10/2010,11.25,24.77,41.400002,157,37,23.950001,35.424999,22.459999,23.99,25.6
28/10/2010,11.41,24.98,41.5,160.440002,37.330002,24.299999,35.52,22.700001,23.84,25.610001
